demonstration	demon_label	test_sentence	response	attachment	structure
The chef seasoned the soup	The chef seasoned	Dan entered the room with a window	dan entered the room	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The miner of the gold that had the impurities was worthless	the miner of was worthless	adjunct	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The singer of the song that had long eyelashes was very smart	the singer of the song was very smart	adjunct	structure_2
The plains of the tribe looked strange	The plains of looked strange	The restaurant of the chef that had the blue tiles pleased us	the restaurant of pleased us	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The car of the driver that had the moustache was pretty cool	the car of that had the moustache was pretty cool	adjunct	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The thesis of the editor that had the big nose made a lot of sense	the thesis of that had made a lot of sense	adjunct	structure_1
The lawyer argued the case	The lawyer argued	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
The student solved the equation	The student solved	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The house of the painter looked odd	The house of looked odd	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The actor memorized the script	The actor memorized	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate the cake	pp	structure_1
The singer composed a song	The singer composed	Michelle watched the movie with English subtitles	michelle watched the movie	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The bishop of the church that had the funny eyebrows looked odd	the bishop of looked odd	adjunct	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The machine of the inventor that had the goatee was amazing	fail to follow	adjunct	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The house of the painter that had the small windows looked odd	the house of the painter that had looked odd	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	Jasmine sang the song with the lovely students	jasmine sang	pp	structure_2
The director of the orchestra played well	The director of played well	The letter of the writer that had blonde hair arrived this morning	the letter of arrived this morning	adjunct	structure_1
The librarian sorted the books	The librarian sorted	The professor challenged the students with his projects	the professor challenged the students	pp	structure_2
The gamer played the game	The gamer played	Mom melted the chocolate with an iron pot	mom melted the chocolate	pp	structure_2
The chef cooked the meal	The chef cooked	The police investigated the house with the permission	the police investigated the house	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The gang of the criminal that had a long scar disappeared last Monday	the gang of that had a long scar disappeared last monday	adjunct	structure_1
The detective solved the mystery	The detective solved	The comedian saw the crowd with fresh flowers	the comedian saw	pp	structure_1
The baker baked the cake	The baker baked	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The bird sang a melody	The bird sang	The coach led the team with three members	the coach led the team	pp	structure_1
