demonstration	demon_label	test_sentence	response	attachment	structure
The market of the city attracted the collectors	The market of attracted the collectors	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The bishop of the church that had the funny eyebrows looked odd	the bishop of the funny eyebrows looked odd	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The restaurant of the chef that had the blue tiles pleased us	the restaurant of pleased us	adjunct	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The car of the driver that had the moustache was pretty cool	the car of the driver was pretty cool	adjunct	structure_1
The artist of the mural completed his work	The artist of completed his work	The singer of the song that had long eyelashes was very smart	the singer of the song was very smart	adjunct	structure_2
The designer of the dress took a bow	The designer of took a bow	The editor of the thesis that had the big nose made a lot of sense	the editor of that had the big nose made a lot of sense	adjunct	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The letter of the writer that had blonde hair arrived this morning	fail to follow	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	The professor challenged the students with his projects	the professor challenged	pp	structure_2
The carpenter built the house	The carpenter built	The comedian entertained the crowd with witty jokes	the comedian entertained	pp	structure_2
The librarian sorted the books	The librarian sorted	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
The journalist reported the news	The journalist reported	The doctor saved the boy using a pacemaker	the doctor saved the boy	pp	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The house of the painter that had the small windows looked odd	the house of the painter looked odd	adjunct	structure_2
The lawyer argued the case	The lawyer argued	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The chef cooked the meal	The chef cooked	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The baker baked the cake	The baker baked	Mom melted the chocolate with an iron pot	mom melted	pp	structure_2
The gamer played the game	The gamer played	Bruce leads the rock band with his voice	bruce leads the rock band	pp	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The miner of the gold that had the impurities was worthless	the miner of was worthless	adjunct	structure_1
The hiker climbed the mountain	The hiker climbed	Jasmine sang the song with romantic lyrics	jasmine sang	pp	structure_1
The baker kneaded the dough	The baker kneaded	The guy caught the rat with a scar	the guy caught	pp	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The machine of the inventor that had the goatee was amazing	fail to follow	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The flowers of the valley that had the old castle excited the tourists	the flowers of the valley that had excited the tourists	adjunct	structure_1
The musician tuned the guitar	The musician tuned	Dan entered the room with a window	dan entered the room	pp	structure_1
The programmer wrote the code	The programmer wrote	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate the cake	pp	structure_1
