demonstration	demon_label	test_sentence	response	attachment	structure
The gamer played the game	The gamer played	Bill cut the paper with a very sharp knife	bill cut the paper	pp	structure_2
The hiker climbed the mountain	The hiker climbed	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The letter of the writer that had blonde hair arrived this morning	fail to follow	adjunct	structure_1
The bird sang a melody	The bird sang	Mom ate the chocolate with chopped nuts	mom ate the chocolate	pp	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The director of the orchestra played well	The director of played well	The painter of the house that had the small windows looked odd	the painter of looked odd	adjunct	structure_1
The carpenter built the house	The carpenter built	The comedian saw the crowd with fresh flowers	the comedian saw	pp	structure_1
The teacher explained the concept	The teacher explained	Dan entered the room with a key	dan entered	pp	structure_2
The mansion of the celebrity excited the fans	The mansion of excited the fans	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The song of the singer that had long eyelashes was very smart	the song of that had long eyelashes was very smart	adjunct	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The chef of the restaurant that had the blue tiles pleased us	the chef of the restaurant pleased us	adjunct	structure_1
The jeweler polished the diamond	The jeweler polished	The professor challenged the students with his projects	the professor challenged	pp	structure_2
The chef cooked the meal	The chef cooked	Van Gogh drew the paintings with starry night	van gogh drew the paintings	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The bishop of the church that had the funny eyebrows looked odd	the bishop of the funny eyebrows looked odd	adjunct	structure_2
The attorney of the company bothered me	The attorney of bothered me	The criminal of the gang that had a long scar disappeared last Monday	the criminal of disappeared last monday	adjunct	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The thesis of the editor that had the big nose made a lot of sense	the thesis of that made a lot of sense	adjunct	structure_1
The programmer wrote the code	The programmer wrote	Jasmine sang the song with romantic lyrics	jasmine sang the song	pp	structure_1
The detective solved the mystery	The detective solved	The guy caught the rat with a scar	the guy caught	pp	structure_1
The fisherman caught the trout	The fisherman caught	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The song of the player is really popular	The song of is really popular	The driver of the car that had the moustache was pretty cool	the driver of that had the was pretty cool	adjunct	structure_2
The gardener watered the plants	The gardener watered	The police investigated the house with a garden	the police investigated	pp	structure_1
The collection of the store fascinated the students	The collection of fascinated the students	The gold of the miner that had the impurities was worthless	the gold of the miner was worthless	adjunct	structure_2
The musician tuned the guitar	The musician tuned	The doctor saved the boy using a pacemaker	the doctor saved the boy	pp	structure_2
