demonstration	demon_label	test_sentence	response	attachment	structure
The driver steered the car	The driver steered	the cook ate the meal with some cauliflowers	the cook ate the meal	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The writer of the letter that had blonde hair arrived this morning	fail to follow	adjunct	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The driver of the car that had the moustache was pretty cool	the driver of had the moustache was pretty cool	adjunct	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The song of the singer that had long eyelashes was very smart	the song of the singer was very smart	adjunct	structure_1
The actor memorized the script	The actor memorized	Dan entered the room with a window	dan entered the room	pp	structure_1
The director of the orchestra played well	The director of played well	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The miner of the gold that had the impurities was worthless	the miner of the gold was worthless	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The house of the painter that had the small windows looked odd	the house of the painter looked odd	adjunct	structure_2
The librarian sorted the books	The librarian sorted	The professor challenged the students with his projects	the professor challenged the students	pp	structure_2
The hiker climbed the mountain	The hiker climbed	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The journalist reported the news	The journalist reported	Queen Elizabeth II ate the cake with a silver fork	queen elizabeth ii ate the cake	pp	structure_2
The forest of the animals pleased us	The forest of pleased us	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	The doctor noticed the boy using big headphones	the doctor noticed the boy	pp	structure_1
The gardener watered the plants	The gardener watered	The guy caught the rat with a trap	the guy caught	pp	structure_2
The tailor altered the coat	The tailor altered	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The gamer played the game	The gamer played	The police investigated the house with a garden	the police investigated the house	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The thesis of the editor that had the big nose made a lot of sense	fail to follow	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The musician tuned the guitar	The musician tuned	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The student solved the equation	The student solved	The basketball player won the game with his team	the basketball player won	pp	structure_2
The plains of the tribe looked strange	The plains of looked strange	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The pilot flew the airplane	The pilot flew	Van Gogh drew the paintings with starry night	van gogh drew	pp	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The restaurant of the chef that had the blue tiles pleased us	fail to follow	adjunct	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The church of the bishop that had the funny eyebrows looked odd	the church of that had the funny eyebrows looked odd	adjunct	structure_1
