demonstration	demon_label	test_sentence	response	attachment	structure
The pilot flew the airplane	The pilot flew	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The song of the singer that had long eyelashes was very smart	the song of the singer was very smart	adjunct	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The bishop of the church that had the funny eyebrows looked odd	the bishop of looked odd	adjunct	structure_2
The mechanic fixed the engine	The mechanic fixed	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The criminal of the gang that had a long scar disappeared last Monday	the criminal of that had a long scar disappeared last monday	adjunct	structure_2
The dancer performed the routine	The dancer performed	the cook ate the meal with some cauliflowers	the cook ate the meal	pp	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The restaurant of the chef that had the blue tiles pleased us	the restaurant of pleased us	adjunct	structure_2
The designer of the dress took a bow	The designer of took a bow	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of that had a nasty effect hurt everyone	adjunct	structure_1
The gamer played the game	The gamer played	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The gold of the miner that had the impurities was worthless	the gold of that had the impurities was worthless	adjunct	structure_2
The bird sang a melody	The bird sang	The comedian entertained the crowd with witty jokes	the comedian entertained the crowd	pp	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The flowers of the valley that had the old castle excited the tourists	fail to follow	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	The professor challenged the students with his projects	the professor challenged	pp	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The librarian sorted the books	The librarian sorted	Jasmine sang the song with romantic lyrics	jasmine sang with romantic lyrics	pp	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The driver of the car that had the moustache was pretty cool	the driver of that had the moustache was pretty cool	adjunct	structure_2
The lawyer argued the case	The lawyer argued	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The letter of the writer that had blonde hair arrived this morning	the letter of that had blonde hair arrived this morning	adjunct	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The editor of the thesis that had the big nose made a lot of sense	the editor of the big nose made a lot of sense	adjunct	structure_2
The student read the book	The student read	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The baker baked the cake	The baker baked	Bill cut the paper with a very sharp knife	bill cut the paper	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The painter of the house that had the small windows looked odd	the painter of the house looked odd	adjunct	structure_1
The student solved the equation	The student solved	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The detective solved the mystery	The detective solved	The guy caught the rat with a scar	the guy caught	pp	structure_1
