demonstration	demon_label	test_sentence	response	attachment	structure
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The driver of the car that had the moustache was pretty cool	the driver of the car was pretty cool	adjunct	structure_2
The singer composed a song	The singer composed	Jasmine sang the song with romantic lyrics	jasmine sang the song	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The singer of the song that had long eyelashes was very smart	the singer of had long eyelashes was very smart	adjunct	structure_2
The hiker climbed the mountain	The hiker climbed	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The valley of the flowers that had the old castle excited the tourists	the valley of that had excited the tourists	adjunct	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The painter of the house that had the small windows looked odd	the painter of the house looked odd	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The thesis of the editor that had the big nose made a lot of sense	the thesis of that made a lot of sense	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The bishop of the church that had the funny eyebrows looked odd	the bishop of that had the funny eyebrows looked odd	adjunct	structure_2
The designer of the dress took a bow	The designer of took a bow	The supplier of the drugs that had a nasty effect hurt everyone	the supplier of that had a nasty effect hurt everyone	adjunct	structure_1
The gamer played the game	The gamer played	The coach motivated the team with inspiring words	the coach motivated the team	pp	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate the cake	pp	structure_1
The photographer adjusted the lens	The photographer adjusted	Bill cut the paper with a very bright colour	bill cut the paper	pp	structure_1
The dancer performed the routine	The dancer performed	The magician amazed the participant with a fancy scene	the magician amazed	pp	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The miner of the gold that had the impurities was worthless	the miner of was worthless	adjunct	structure_1
The student solved the equation	The student solved	Dan entered the room with a window	dan entered the room	pp	structure_1
The actor memorized the script	The actor memorized	Van Gogh sold the paintings with a broken heart	van gogh sold the paintings	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The letter of the writer that had blonde hair arrived this morning	the letter of that arrived this morning	adjunct	structure_1
The chef seasoned the soup	The chef seasoned	The doctor saved the boy using a pacemaker	the doctor saved	pp	structure_2
The lawyer argued the case	The lawyer argued	The professor recruited the students with black eyes	the professor recruited the students	pp	structure_1
The house of the painter looked odd	The house of looked odd	The inventor of the machine that had the goatee was amazing	the inventor of had the goatee was amazing	adjunct	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The chef of the restaurant that had the blue tiles pleased us	fail to follow	adjunct	structure_1
The programmer wrote the code	The programmer wrote	The guy caught the rat with a trap	the guy caught the rat	pp	structure_2
The jeweler polished the diamond	The jeweler polished	Charles runs a photo studio with two friends	charles runs	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The criminal of the gang that had a long scar disappeared last Monday	the criminal of disappeared last monday	adjunct	structure_2
