demonstration	demon_label	test_sentence	response	attachment	structure
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The miner of the gold that had the impurities was worthless	the miner of was worthless	adjunct	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The valley of the flowers that had the old castle excited the tourists	the valley of excited the tourists	adjunct	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The singer of the song that had long eyelashes was very smart	fail to follow	adjunct	structure_2
The lawyer argued the case	The lawyer argued	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The artist of the mural completed his work	The artist of completed his work	The church of the bishop that had the funny eyebrows looked odd	the church of that had the funny eyebrows looked odd	adjunct	structure_1
The student read the book	The student read	Dan entered the room with a key	dan entered the room	pp	structure_2
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The restaurant of the chef that had the blue tiles pleased us	the restaurant of that pleased us	adjunct	structure_2
The journalist reported the news	The journalist reported	Michelle watched the movie with English subtitles	michelle watched the movie	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The thesis of the editor that had the big nose made a lot of sense	the thesis of that had the big nose made a lot of sense	adjunct	structure_1
The chef cooked the meal	The chef cooked	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The car of the driver that had the moustache was pretty cool	the car of the driver was pretty cool	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The criminal of the gang that had a long scar disappeared last Monday	the criminal of the gang that had a disappeared last monday	adjunct	structure_2
The pilot flew the airplane	The pilot flew	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate	pp	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The painter of the house that had the small windows looked odd	the painter of looked odd	adjunct	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The jeweler polished the diamond	The jeweler polished	The police investigated the house with the permission	the police investigated	pp	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Jasmine sang the song with romantic lyrics	jasmine sang	pp	structure_1
The carpenter built the house	The carpenter built	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The machine of the inventor that had the goatee was amazing	the machine of that had the goatee was amazing	adjunct	structure_1
The detective solved the mystery	The detective solved	The guy caught the rat with a trap	the guy caught	pp	structure_2
The plains of the tribe looked strange	The plains of looked strange	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The baker baked the cake	The baker baked	Van Gogh sold the paintings with a broken heart	van gogh sold	pp	structure_2
The teacher explained the concept	The teacher explained	the cook made the meal with a Chinese cleaver	the cook made the meal	pp	structure_2
The baker kneaded the dough	The baker kneaded	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
