demonstration	demon_label	test_sentence	response	attachment	structure
The teacher explained the concept	The teacher explained	Van Gogh drew the paintings with starry night	van gogh drew	pp	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The house of the painter that had the small windows looked odd	the house of that had the small windows looked odd	adjunct	structure_2
The musician tuned the guitar	The musician tuned	Queen Elizabeth II ate the cake with a silver fork	queen elizabeth ii ate with a silver fork	pp	structure_2
The baker baked the cake	The baker baked	The police investigated the house with the permission	the police investigated	pp	structure_2
The chef seasoned the soup	The chef seasoned	Charles runs a photo studio with two friends	charles runs a photo studio	pp	structure_2
The hiker climbed the mountain	The hiker climbed	Mom melted the chocolate with an iron pot	mom melted	pp	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The driver steered the car	The driver steered	Jasmine sang the song with the lovely students	jasmine sang the song	pp	structure_2
The house of the painter looked odd	The house of looked odd	The flowers of the valley that had the old castle excited the tourists	the flowers of that had excited the tourists	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The machine of the inventor that had the goatee was amazing	the machine of that was amazing	adjunct	structure_1
The gallery of the center impressed the critics	The gallery of impressed the critics	The editor of the thesis that had the big nose made a lot of sense	the editor of that made a lot of sense	adjunct	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The gold of the miner that had the impurities was worthless	the gold of that was worthless	adjunct	structure_2
The architect designed the building	The architect designed	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The gamer played the game	The gamer played	Bruce likes the rock band with different instruments	bruce likes the rock band	pp	structure_1
The plains of the tribe looked strange	The plains of looked strange	The restaurant of the chef that had the blue tiles pleased us	the restaurant of pleased us	adjunct	structure_2
The tailor altered the coat	The tailor altered	The coach motivated the team with inspiring words	the coach motivated	pp	structure_2
The carpenter built the house	The carpenter built	The basketball player won the game with lots of audience	the basketball player won	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The song of the singer that had long eyelashes was very smart	fail to follow	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The church of the bishop that had the funny eyebrows looked odd	the church of looked odd	adjunct	structure_1
The actor memorized the script	The actor memorized	The magician thanked the participant with a big nose	the magician thanked the participant	pp	structure_1
The lawyer argued the case	The lawyer argued	The comedian saw the crowd with fresh flowers	the comedian saw the crowd	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The gang of the criminal that had a long scar disappeared last Monday	the gang of disappeared last monday	adjunct	structure_1
The song of the player is really popular	The song of is really popular	The car of the driver that had the moustache was pretty cool	the car of that had the moustache was pretty cool	adjunct	structure_1
