demonstration	test_sentence	response
Waxman sells a variety of hardware products for the home repair market	He reset opening arguments for today	He reset
The two sides now are accusing each other of lying	Employees wore identification badges listing not only their names but also their dates of hire	Employees wore badges of their dates of hire.
There were no new issues	The bikes are unwelcome on trails in national parks	The bikes are
New telephone lines posted healthy growth	The majority of the bikes never even make it into the high country	The majority of the bikes never even make it.
The company reported good gains in all of its divisions	Help may be on the way	Help may be
The put establishes a minimum selling price for the stock during its life	Another poked a hole in the heel of his shoe	Another poked a hole
Her new line of work has some perils	The talks came as Lebanese negotiations on political changes appeared deadlocked	The talks came as
The appointments are part of a planned succession at the company	Those viewers find the show confusing	Those viewers find
Maybe it was their peculiar sense of history	He expects Citicorp to take a similar step this year	He expects
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The board will be made up of seven directors of each holding company	The board will be made up of each holding company.
But slow sales forced Ford to kill the brand just last week	Analysts expect further jitters this week	Analysts expect further this week.
The mining zone has thus remained one of the most desolate places in Africa	Treasury prices ended mixed in light trading	Treasury prices ended
The excess supply pushed gasoline prices down in that period	Some business analysts blame the problem on tough competition in the insurance market	Some business analysts blame on tough competition in the insurance market.
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	The inquiry soon focused on the judge	The inquiry soon focused
But they will have disappointing returns or even losses if interest rates rise instead	Options markets stopped trading in many securities	Options markets in many securities.
Accounting problems raise more knotty issues	The current ruble rate has long been out of line with the black market	The current ruble rate has
Utilities management is a major commercial niche	No one has alleged that the donations were by themselves illegal	No one has
The ambitious Warsaw project still awaits approval by city officials	He expects the price for that product to rise even more next year	He expects the price for that product
This misguided policy could not prevent a British trade deficit	Many law firms sponsor their own programs	Many law firms sponsor
The deal would require approval by a majority of Jaguar shareholders	We put some orders together	We put some
It also could convert glucose from farm wastes into edible protein	The company develops and markets products for the food service industry	The company develops and markets for the food service industry.
An official linked the gain essentially to higher prices for beef and pork	The engine plant may encompass plans for a joint components venture with Jaguar	The engine plant may encompass for a joint components venture with Jaguar.
He confers big trading commissions on Wall Street firms	Strategists should consider the impact of budget uncertainties at the beginning of the planning process	Strategists should consider at the beginning of the planning process.
American institutional investors have never had a large appetite for Japanese equities	It added that no discussions about such a sale are under way	It added that no discussions  about
