demonstration	test_sentence	response
He had been vice president in that office	He can live with little pleasures	He can.
Traders can vary their strategies and execute their orders in any one of them	Hanson is a London producer of consumer and other goods	Hanson is a london producer.
But there is a grimly ironic twist to the Columbia loss	The dollar rose against the Swiss and French francs	The dollar rose
This is an index fund with a bet	Las Vegas has seen nothing quite like it before	Las Vegas has.
Manville is a building and forest products concern	The inquiry soon focused on the judge	The inquiry on.
The reputed wealth of the Unification Church is another matter of contention	Not even all the brokerage firms see clear sailing ahead	Not even all the brokerage firms.
Investors with a heavy tax load should take out their calculators	Buyers stepped in to the futures pit	Buyers stepped in.
Whether she can meet that ambitious goal is still far from certain	Many economists expect the weakness to continue	Many economists expect the weakness.
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	There is hope of change	There is.
The rise matches that of the Dow Jones industrials this year	Your story is an insult to the citizens of the Mississippi Delta	Your story is an insult.
The loss of more customers is the latest in a string of problems	The Orange Workers are just putting this preaching into practice	The orange workers are just putting this.
Civil suits against planners by clients seeking recovery of funds are increasingly common	Yet he has proved more resilient than any of them	Yet he has proved more resilient.
The infusion of activists can bring a clash of cultures	New telephone lines posted healthy growth	New telephone lines.
Their problem is one of inefficiency of an industrial economy	Kyle manufactures electronic components	Kyle manufactures electronic components.
The mining zone has thus remained one of the most desolate places in Africa	The same factors limiting demand for office space have affected retailing	The same factors limiting demand.
Details and Camden are essential Florio	Union officials have taken a beating politically as a result	Union officials have taken a beating.
Many other brokerage firms had similarly bullish views	The dispute was the subject of a Wall Street Journal article in August	The dispute was the subject.
The two sides also traded accusations about the cost of the Packwood plan	The closely watched funds rate is what banks charge each other on overnight loans	The funds rate is what banks charge.
The heavy buying in the last half hour led the specialists to take special steps	The charges said that one worker suffered permanent brain damage from mercury exposure	The charges said mercury exposure.
He dedicated all these new forces to the Persian Gulf	Los Angeles will be the site of a new entertainment division for the ad agency	Los Angeles will be the division.
These revised figures also may explain some of the recent strength of the dollar	Other major players in intimate apparel apparently feel the same way	Other major players.
Blue chips led the march up in heavy trading	We were coming down straight into their canal	We were coming.
Both figures were record highs	He said that the research team had no financial stake in the drug	He said.
Lackluster returns are one reason	But some analysts remain sour on the company	But some analysts remain.
