demonstration	test_sentence	response
The egg producers also lobbied the Food and Drug Administration	The government insists that such a possibility is low	The government says the possibility is low.
Other gainers were companies with one or more undamaged California refineries	These revised figures also may explain some of the recent strength of the dollar	These revised figures.
But the lovebirds have a conflict	There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	There are a few ramshackle
It has more drug users than Boston has people	The company reported good gains in all of its divisions	The company.
The struggle over capital gains is the most important game in town	The company earns about half its revenue overseas and plans further expansion	The company earns about half.
The Northeast has been holding its own in the population race	The market seems increasingly disconnected from the rest of the nation	The market seems disconnected from the nation.
The engine plant may encompass plans for a joint components venture with Jaguar	He has good control	He has control.
Arm troubles forced him back to the minors the next year	It arrived just as the regulator handling such operations was retiring	It arrived as the regulator was retiring.
Some economists expect further declines in investment spending	Geraldo or Phil would probably pull up another camera and interview the chained protesters	Geraldo or Phil would pull up.
The relative calm in Tokyo proved little comfort to markets opening up in Europe	They are more sophisticated this time	They are sophisticated.
Recruiter Donald Clark does note an increase in searches for minority candidates	No sophisticated professional expects economists to be right all the time	No sophisticated professional expects.
Their discomfort is a healthy sign for the rest of us	The states have their own ideas about regulation and certification	The states have.
But sophistication has its limits	This leads to a very special sense of urgency	This leads
The quake postponed the third and fourth games of the World Series	Some banks actually boosted yields on the shortest term CDs in the latest week	Some banks boosted
It is hoped that other Japanese would then follow the leader	The talks came as Lebanese negotiations on political changes appeared deadlocked	The talks came as Lebanese negotiations appeared deadlocked.
One such company is Bankers Trust Co	Analysts expect further jitters this week	Analysts expect
Trading in cotton and sugar was nervous and showed small declines	That structural lack is crucial because investors are the only source of market liquidity	That structural lack is crucial because investors are the only source
Lead underwriter to the issue is Toronto Dominion Securities Inc	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	Stocks rose slightly as trading
But the chain is quickly realizing the pitfalls of such endorsements	Even some House Banking Committee members could suffer from the fallout	Even some House Banking Committee members
Economists expected twice as large an increase	The house just settled right down into the ground	The house settled
Some funds are posting yields far higher than the average	Investors welcomed the move	Investors welcomed
Most recently he had been executive vice president for planning and finance at Texas Air	Canadian investment rules require that big foreign takeovers meet that standard	Canadian investment rules
Most earn high ratings from credit agencies	Mervin Lung remains chairman and chief executive officer	Mervin Lung remains
Bond prices posted strong gains as investors went on a bargain hunt	He was only the sixth federal judge ever ousted from office after an impeachment trial	He was the sixth federal judge ousted after an impeachment trial
