demonstration	test_sentence	response
The tribe is one of the poorest in the Pacific Northwest	Business was slow because many companies were closed yesterday	Business was 
Successful American business owners do the same thing	Conner already is shipping its new drives	Conner already is
Manufacturers Hanover had a loss due to a big reserve addition	Some in Big Oil are easing the grip on their wallets	Some in Big Oil are
Bonds received a bigger boost later in the day when stock prices moved broadly lower	They long made little effort here	They long made here
Their verdict on real estate is almost the same	He softened the talk about a recession	He softened about a recession
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The expansion is subject to approval by federal and Wisconsin environmental regulators	The expansion is subject to approval by
Civil suits against planners by clients seeking recovery of funds are increasingly common	He again urged passage of a constitutional amendment outlawing abortion	He again urged passage outlawing abortion
The relative calm in Tokyo proved little comfort to markets opening up in Europe	That injunction resulted from litigation between Temple and Sea Containers last May	That injunction resulted
An analyst cited weaker capital spending and exports	The engine plant may encompass plans for a joint components venture with Jaguar	The engine plant may
We put some orders together	Panic frequently results in irrational behavior	Panic frequently results
Opponents show that there are already more funds available than commendable reform efforts	The transaction is subject to a definitive agreement and approval by Ideal shareholders	The transaction is subject
Japanese put up with it because the government provided job stability and growing paychecks	But it never did let up on the pressure	But it never did let up
Some economists expect further declines in investment spending	The journalistic consensus was that the earthquake made the World Series seem unimportant	The journalistic consensus was
American institutional investors have never had a large appetite for Japanese equities	The put establishes a minimum selling price for the stock during its life	The put establishes a minimum selling price
Market Data Retrieval is a compiler of educational information and provides related services	Both figures were record highs	Both figures were record
The reputed wealth of the Unification Church is another matter of contention	The problem is not that the Fed is too unresponsive to the public interest	The problem is not that the Fed is
The House version would raise slightly more	It has more drug users than Boston has people	It has more
But in this case the needle has a very sharp point	The dispute pits two groups of claimants against each other	The dispute pits
But they will have disappointing returns or even losses if interest rates rise instead	The screen was a sea of red	The screen was a sea
Merck is one of the most important stocks in the Major Market Index	That could shove a weak economy into recession	That could shove
Most earn high ratings from credit agencies	But that was all of three months ago	But that was
It was a Friday in June	There are few factories and no mines	There are few
The Pentagon foiled the plan	Japanese companies have a caveat competitor attitude	Japanese companies have
Slowing economies in some areas limit student choice	He also leads an opulent life style	He also leads an
