demonstration	test_sentence	response
养老金改革是其主要推动力	黄金宝藏位于茂密的丛林	黄金宝藏位于
恶意收购是一个相当新的现象	小女孩走向卧室	小女孩走
城市的孩子接收免费的教育	学生们看向复杂的方程式	学生们看向
你的父亲值得一个假期	许多松鼠生活在橡树上	许多松鼠生活在
她的父亲保护家人	这场意外发生在周六晚上	发生在周六晚上
他的父亲经营一家建筑公司	这个故事始于一个小镇	始于一个小镇
预期的竞争是一个问题	厚厚的论文摆放在书架上	摆放在书架上
两名选举委员会成员反对配对计划	小鸟们停在粗树枝上	小鸟们停在
他们热情的教练训练年轻的团队	这位伟大的艺术家死于一场重病	死于一场重病
大部分人尊敬这位伟大的领导者	旧地图指向隐藏的宝藏	旧地图指向隐藏的
那个老人喂那只流浪猫	他们一家生活在一个老旧农舍里	他们一家生活在
我的朋友们珍惜我们的高中回忆	小男孩看向玩具店的橱窗	小男孩看向
可能的副作用包括高血压	小船停在平静的湖面上	停在平静的湖面上
上升的运营费用是另一个问题	一件惊讶的事情发生在他们的结婚纪念日上	发生在他们的结婚纪念日上
这幅美丽的画引发强烈的情感	一轮圆月出现在漆黑的夜空上	出现在漆黑的夜空上
该诉讼寻求未具体说明的损害赔偿	干净的床单放在洗衣篮中	干净的床单放在
当地社区支持我们的筹款活动	他的眼镜放在床头柜上	放在床头柜上
这个男孩需要你的帮助	他的父亲死于一次心脏病	死于一次心脏病
勤奋的学生学习她的课程	一张照片挂在他的书房	挂在他的书房
我们友好的邻居分享他美味的食物	大部分人生活在农村地区	生活在农村地区
城市居民渴望安静的乡村生活	这件稀有文物保存在安全保险库中	保存在安全保险库中
这些人有不同的议程	这个老人看向窗户	这个老人看向
我的小弟弟享受这个有趣的游戏	易碎的花瓶放在顶层书架	放在顶层书架
许多律师事务所赞助自己的项目	年老的客人们坐在晚餐桌旁	坐在晚餐桌旁
