demonstration	test_sentence	response
上升的运营费用是另一个问题	小船停在平静的湖面上	小船停在
我的朋友们珍惜我们的高中回忆	这场意外发生在周六晚上	这场意外发生
大部分人尊敬这位伟大的领导者	这位伟大的艺术家死于一场重病	这位伟大的艺术家死
勤奋的学生学习她的课程	小鸟们停在粗树枝上	小鸟们停
恶意收购是一个相当新的现象	一位绅士走向繁忙的咖啡厅	一位绅士走
这些人有不同的议程	学生们看向复杂的方程式	学生们看
他的父亲经营一家建筑公司	一张照片挂在他的书房	一张照片挂
这个男孩需要你的帮助	年老的客人们坐在晚餐桌旁	年老的客人们坐
我们友好的邻居分享他美味的食物	他的父亲死于一次心脏病	他的父亲死
预期的竞争是一个问题	小女孩走向卧室	小女孩走
当地居民欣赏美丽的公园	旧地图指向隐藏的宝藏	旧地图指
会计问题引发更多棘手事件	一件惊讶的事情发生在他们的结婚纪念日上	一件惊讶的事情发生
那个年轻的女孩爱她的新玩具	他们一家生活在一个老旧农舍里	他们一家生活在
那个老人喂那只流浪猫	剩余学生坐在地上	剩余学生坐
养老金改革是其主要推动力	易碎的花瓶放在顶层书架	易碎的花瓶放
你的父亲值得一个假期	这封秘密信放在旧木桌上	这封秘密信放在
城市的孩子接收免费的教育	大部分人生活在农村地区	大部分人生活
许多律师事务所赞助自己的项目	黄金宝藏位于茂密的丛林	黄金宝藏位于
该诉讼寻求未具体说明的损害赔偿	厚厚的论文摆放在书架上	厚厚的论文
该计划缺乏撤回时间表	他的父母冲到他身旁	他的父母冲
联邦法官授予临时限制令	这件稀有文物保存在安全保险库中	这件稀有文物保存
当地社区支持我们的筹款活动	许多松鼠生活在橡树上	许多松鼠生活
她的父亲保护家人	干净的床单放在洗衣篮中	干净的床单放
可能的副作用包括高血压	一轮圆月出现在漆黑的夜空上	一轮圆月出现
