demonstration	test_sentence	response
许多律师事务所赞助自己的项目	大部分人生活在农村地区	大部分人生活在
她的父亲保护家人	他的父亲死于一次心脏病	他的父亲死于
那个年轻的女孩爱她的新玩具	黄金宝藏位于茂密的丛林	黄金宝藏位于
那个老人喂那只流浪猫	小船停在平静的湖面上	小船停在
这些人有不同的议程	易碎的花瓶放在顶层书架	易碎的花瓶放在
该计划缺乏撤回时间表	旧地图指向隐藏的宝藏	旧地图指向
我的朋友们珍惜我们的高中回忆	年老的客人们坐在晚餐桌旁	年老的客人们坐
一些机构交易员喜欢这种疯狂的旅程	他的眼镜放在床头柜上	他的眼镜放在
该诉讼寻求未具体说明的损害赔偿	这件稀有文物保存在安全保险库中	这件稀有文物保存在
他的父亲经营一家建筑公司	他们一家生活在一个老旧农舍里	他们一家生活在
大部分人尊敬这位伟大的领导者	小鸟们停在粗树枝上	小鸟们停在
会计问题引发更多棘手事件	一张照片挂在他的书房	一张照片挂在
养老金改革是其主要推动力	厚厚的论文摆放在书架上	厚厚的论文摆放在
城市居民渴望安静的乡村生活	学生们看向复杂的方程式	学生们看向
这个男孩需要你的帮助	这位伟大的艺术家死于一场重病	这位伟大的艺术家死
预期的竞争是一个问题	小女孩走向卧室	小女孩走
当地居民欣赏美丽的公园	这个故事始于一个小镇	这个故事始于
联邦法官授予临时限制令	他的父母冲到他身旁	他的父母冲
我的小弟弟享受这个有趣的游戏	这场意外发生在周六晚上	这场意外发生在
上升的运营费用是另一个问题	路标指向最近的出口	路标指向
城市的孩子接收免费的教育	一件惊讶的事情发生在他们的结婚纪念日上	一件惊讶的事情发生
勤奋的学生学习她的课程	这个老人看向窗户	这个老人看
恶意收购是一个相当新的现象	一轮圆月出现在漆黑的夜空上	一轮圆月出现
他们热情的教练训练年轻的团队	一只迷路的小狗走向城市公园	一只迷路的小狗走向
