demonstration	test_sentence	response
两名选举委员会成员反对配对计划	一轮圆月出现在漆黑的夜空上	一轮圆月出现
恶意收购是一个相当新的现象	小船停在平静的湖面上	小船停
城市居民渴望安静的乡村生活	易碎的花瓶放在顶层书架	易碎的花瓶放在
当地社区支持我们的筹款活动	干净的床单放在洗衣篮中	干净的床单放在
该诉讼寻求未具体说明的损害赔偿	小男孩看向玩具店的橱窗	小男孩看向
你的父亲值得一个假期	年老的客人们坐在晚餐桌旁	年老的客人们坐在
这幅美丽的画引发强烈的情感	这个故事始于一个小镇	这个故事始于
她的父亲保护家人	这场意外发生在周六晚上	这场意外发生
该计划缺乏撤回时间表	他们一家生活在一个老旧农舍里	他们一家生活
城市的孩子接收免费的教育	这个老人看向窗户	这个老人看向
当地居民欣赏美丽的公园	这位伟大的艺术家死于一场重病	这位伟大的艺术家死
可能的副作用包括高血压	学生们看向复杂的方程式	学生们看
我们友好的邻居分享他美味的食物	这封秘密信放在旧木桌上	这封秘密信放在
这些人有不同的议程	他的眼镜放在床头柜上	他的眼镜放在
一些机构交易员喜欢这种疯狂的旅程	剩余学生坐在地上	剩余学生坐
这个男孩需要你的帮助	这件稀有文物保存在安全保险库中	这件稀有文物保存
我的朋友们珍惜我们的高中回忆	一张照片挂在他的书房	一张照片挂在
上升的运营费用是另一个问题	路标指向最近的出口	路标指向
他的父亲经营一家建筑公司	许多松鼠生活在橡树上	许多松鼠生活
我的小弟弟享受这个有趣的游戏	他的父母冲到他身旁	他的父母冲到
预期的竞争是一个问题	一位绅士走向繁忙的咖啡厅	一位绅士走向
会计问题引发更多棘手事件	他的父亲死于一次心脏病	他的父亲死
那个老人喂那只流浪猫	黄金宝藏位于茂密的丛林	黄金宝藏位于
许多律师事务所赞助自己的项目	大部分人生活在农村地区	大部分人生活
