original	label	prediction
No such statement appears on the tapes	No such statement appears on the tapes	statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No such statement appears on tapes
No such statement appears on the tapes	No such statement appears on the tapes	No such statement appears on tapes
No such statement appears on the tapes	No such statement appears on the tapes	No statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No such statement appears on
No such statement appears on the tapes	No such statement appears on the tapes	No statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	no such statement appears
No such statement appears on the tapes	No such statement appears on the tapes	no such statement
No such statement appears on the tapes	No such statement appears on the tapes	no such statement appears
No such statement appears on the tapes	No such statement appears on the tapes	Statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No such statement appears
No such statement appears on the tapes	No such statement appears on the tapes	No statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No such statement appears on
No such statement appears on the tapes	No such statement appears on the tapes	No statement
No such statement appears on the tapes	No such statement appears on the tapes	No statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No such statement appears
No such statement appears on the tapes	No such statement appears on the tapes	No such statement appears on
No such statement appears on the tapes	No such statement appears on the tapes	No statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No such statement appears
No such statement appears on the tapes	No such statement appears on the tapes	No statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	fail to follow
No such statement appears on the tapes	No such statement appears on the tapes	No such statement the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No such statement appears the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	Statement appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No appears on the tapes
No such statement appears on the tapes	No such statement appears on the tapes	No statement appears on the tapes
