demonstration	test_sentence	response
你们是现代版的爱情神话	我说你认为什么车比较不错啊	说话没有宾语。可能会表达“我说“
你真不知道男孩女孩啊	你自己住间房还是跟别人一起住啊	你自己住间房还是一起住啊
我下周二就走了	那是理想国	那是国
你有宽胶带吗	我搬新家了	我搬了
欧元促进电子商务发展	那你还不就拿个提成	那你还不就拿个
关键是铁饭碗刮不出多少金子来啊	我跟我同事一起弄她的店	我跟我同事一起弄店
你看社区地图	咱俩差不多同时能解脱	咱俩差不多同时能
外部压力是内部调整的机遇	我还得赶点东西	我还得
我预约了心脏彩超	只是个人没什么好处	只是个人没什么
我想一下午了	我先洗把脸你忙会儿	我先洗脸你忙
一张胶片多少钱大概	现在这里早上十点半	现在这里十点半
所以你换家医院看看不行吗	我怕她知道我们的聊天	我怕她知道我们
不过她应该也有些心理准备了	我也觉得男的好	我也觉得好
反正我觉得自己是这样的	那是男厕所	那是男厕所
你得要多长时间	你孙女是个大老粗	你孙女是个
我们只是公司的一个部门	你要找天线供应商	你要找
我姐姐说她都这把年纪了	我要打多少年的工呀	我要打工呀
她是个行政的主任	肠炎也不是什么疑难杂症啊	肠炎也不是
书记今天下午回来	路由器在我这边	路由器这边
那个男生很有你当年的感觉	反正我是没洗过十多分钟的脸	反正我是没洗过
你是说那个图片吗	那里有没有华人同事	那里有没有同事
所以你先做前期工作	他也是四个月暑假啊	他也是暑假啊
伟大哥待会儿再带盒熏鱼	我们按这个标准交	我们按这个交
你是怎么知道这篇文章的	你是个大好人啊	你好人啊
