demonstration	test_sentence	response
我和你一个年纪了	我下采购单	我下单
那张有大师水平	我靠我真不该换这个签名的	我靠我真不该换
动车多少钱	他们说暑假真不像个暑假	暑假
弱国就是大国的练兵场啊	因为我看她没什么兴趣	因为我看她
我准备了好长时间嗯	国内驾照只能在这里用一个月	国内驾照只能在这里用
你那里还有我的照片吗	我再给你买个号	我再给你买
我不开那样的	她是个行政的主任	她是个
但是公司有营销策划部门	我预约了心脏彩超	我预约了
我没有淘宝账号	路由器在我这边	在我这边
奶妈是不是切断了跟外界滴联系啊	网上有房型图	网上有
呵呵我无名小卒一枚	我这里是晚上八点	我这里是
我怕她知道我们的聊天	我还是坐周晨那儿	我还是坐
我写点东西你早点休息吧	你有什么经验没	你有没
那里有没有华人同事	她眼神有些像你母亲	她眼神有些像
一节课多少钱	我们做弱电系统	弱电系统
我就一个床一个桌子啊	以前你是时尚达人	你是人
我都没你们电话	胡萝卜不是小人参吗	胡萝卜不是
我觉得我婆婆神经有些问题	啥叫康乐消费	啥叫康
咱们怎么个行程啊	我那没有那些康乐消费	我那费
你下午几点结束	同学之间没有那多客套	同学客套
糊涂人糊涂账	你又表演啥节目呀亲	你又表演
关键是铁饭碗刮不出多少金子来啊	我们周二晚上还有女生节晚会	我们周二晚上还有晚会
你能来我办公室不	你发到我信箱吧	你发到吧
你给我报个价吧	我回家路上干啥好呢	我干啥好呢
