demonstration	test_sentence	response
我带自己的电脑啊	一张胶片多少钱大概	胶片多少钱
现在这里早上十点半	我真的不明白这其中的事	我不明白
那个旅馆在最边上	这么多年的朋友搞得跟个外人似得	这么多年朋友
你是不是有车老师的邮箱之类的	那是理想国	那是
我准备了好长时间嗯	你是骨科的吗	骨科的吗
我还得赶点东西	我要打造巨星品牌	我要打造品牌
那你还不就拿个提成	胡萝卜不是小人参吗	不是小人参吗
以前你是时尚达人	这个不是我的	这个不是
本来文件是什么格式	孩子躺在母亲的臂弯里	孩子躺在
他也是四个月暑假啊	我明后天再给教练长打电话	我再打电话
我看中了件欧时力的大衣	一白遮百丑呀	白呀
我也正在物色这方面的人才	啥叫康乐消费	啥叫康乐
时间一定要这个时候吗	你觉得哪个行的最好	哪个最好
我预约了心脏彩超	这个公寓楼就是酒店式那种的	公寓楼就是那种的
那个适合小婴儿	其实穷也是一种幸福	穷也幸福
你不是有他的号吗	俺弟一结婚我就没什么事了	我没事了
出院科室里面有个床号	因为我看她没什么兴趣	我看她没什么
以后人类也是转基因的了呢	那人都是这样的啊	那人都是啊
我自己减少了和他们的交往	上下水是房间的大头	上下水是大头
你看社区地图	我这里是晚上八点	八点
这周或下周我去社里	你要有这种信念呀	你要有呀
我要打多少年的工呀	这个也是要计算机专业的吗	这个也是要的吗
你可以问问其他客户	昨天那个阿姐叫什么名字啊	昨天那个叫什么
利民经常干这种事情的	我可以包你晚饭	我可以包你
