demonstration	test_sentence	response
于是我更加关注这支球队	你不知道他的凶样	你不知道
欧元促进电子商务发展	这就是主任的啊	就是主任的
飞月的也在我这里	我已经不会为这些事情纠结了	我已经不会为这纠结了
你是怎么知道这篇文章的	我下采购单	我来下
你要相信你女朋友	我去找我妈吃饭了	我去吃饭了
我觉得我婆婆神经有些问题	会员分散啥意思	会员分散啥
我路痴一个捏	我跟你同学一个组啊	我啊
不过我在你后面	你该找个妹子了	你该找个
基本她没管家庭和小孩	反正我是没洗过十多分钟的脸	反正我是没洗过
这个公寓楼就是酒店式那种的	土地基金增强特区财政储备	土地基金增强
我房东下学期有可能搬走	反正我觉得自己是这样的	反正我觉得是这样的
你办个招行和广发的就行	那里有没有华人同事	那里有没有
主专业不是我们学院就是学校的	你在那公司里做过吧	你做过吧
我们做弱电系统	那张有大师水平	那张有
你认识新朋友没	弱国就是大国的练兵场啊	弱国就是练兵场
你是不是有车老师的邮箱之类的	这个是小影院	这个是
哦你们是真正的中产阶级	你联系一下我们销售经理	你联系一下
我感觉你身上有他的影子	他们在做大事情	他们在做
我也在考虑这个问题	我就一个床一个桌子啊	我就一个啊
网上有房型图	奶妈是不是切断了跟外界滴联系啊	奶妈是不是
那你俩照什么主题	我们每个人买了一个新秀丽的箱子	我们每个人买了
我姐姐说她都这把年纪了	我看那车还不错	我看那车还
每天往返路程需要多长时间	我在网上查不到什么资料啊	我在网上查不到啊
你这年纪轻轻滴失眠个什么撒	我有你的啊	我有啊
