original	label	prediction
The old map points to a hidden treasure	the old map points to a hidden treasure	the old map points
The students look at the complex equation	the students look at the complex equation	the students look at
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
The young boy looks at the toy store window	the young boy looks at the toy store window	the young boy looks
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks towards
The old map points to a hidden treasure	the old map points to a hidden treasure	the old map points
The small boat stays in the calm lake	the small boat stays in the calm lake	the small boat stays
The road sign points to the nearest exit	the road sign points to the nearest exit	the road sign
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
The story begins in a small town	the story begins in a small town	the story
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The secret letter lies on the old wooden desk	the secret letter lies on the old wooden desk	the secret letter lies
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks towards
The secret letter lies on the old wooden desk	the secret letter lies on the old wooden desk	the secret letter lies
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks
