original	label	prediction
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks
The road sign points to the nearest exit	the road sign points to the nearest exit	the road sign points to
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
The secret letter lies on the old wooden desk	the secret letter lies on the old wooden desk	the secret letter lies
A lost puppy walks towards the city park	a lost puppy walks towards the city park	a lost puppy walks
A picture hangs at his study	a picture hangs at his study	a picture hangs
The students look at the complex equation	the students look at the complex equation	the students look
A picture hangs at his study	a picture hangs at his study	a picture hangs
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
His parents rushed to his side	his parents rushed to his side	his parents rushed
Most people live in rural areas	Most people live in	most people live
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
Many squirrels live in the oak tree	many squirrels live in the oak tree	fail to follow
The road sign points to the nearest exit	the road sign points to the nearest exit	the road sign points
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks
The secret letter lies on the old wooden desk	the secret letter lies on the old wooden desk	the secret letter lies on the desk
The story begins in a small town	the story begins in a small town	the story begins
The story begins in a small town	the story begins in a small town	the story begins
The students look at the complex equation	the students look at the complex equation	the students look at
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks towards
The road sign points to the nearest exit	the road sign points to the nearest exit	the road sign points
The bird rests on the sturdy branch	the bird rests on the sturdy branch	fail to follow
