original	label	prediction
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
The road sign points to the nearest exit	the road sign points to the nearest exit	the road sign points to
The students look at the complex equation	the students look at the complex equation	the students look at
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The accident happened on Saturday night	The accident happened on	the accident happened
The great artist died from a serious illness	the great artist died from a serious illness	the great artist died
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks
The small boat stays in the calm lake	the small boat stays in the calm lake	the small boat stays
The students look at the complex equation	the students look at the complex equation	the students look at
The little girl walks towards the living room	the little girl walks towards the living room	fail to follow
The students look at the complex equation	the students look at the complex equation	fail to follow
A picture hangs at his study	a picture hangs at his study	a picture hangs
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
The small boat stays in the calm lake	the small boat stays in the calm lake	the small boat stays
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
His parents rushed to his side	his parents rushed to his side	his parents rushed
The small boat stays in the calm lake	the small boat stays in the calm lake	the small boat stays
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks towards
A picture hangs at his study	a picture hangs at his study	a picture hangs
A lost puppy walks towards the city park	a lost puppy walks towards the city park	a lost puppy walks
His parents rushed to his side	his parents rushed to his side	his parents rushed
The bird rests on the sturdy branch	the bird rests on the sturdy branch	the bird rests on
