original	label	prediction
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks towards
His family lived in an old farmhouse	His family lived in	fail to follow
The students look at the complex equation	the students look at the complex equation	fail to follow
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
The secret letter lies on the old wooden desk	the secret letter lies on the old wooden desk	the secret letter
The accident happened on Saturday night	The accident happened on	the accident happened
A picture hangs at his study	a picture hangs at his study	a picture hangs
The small boat stays in the calm lake	the small boat stays in the calm lake	the small boat stays
the old man looked at the window	the old man looked at the window	the old man looked
Most people live in rural areas	Most people live in	most people live
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
the rest students sat on the ground	the rest students sat on	fail to follow
The great artist died from a serious illness	the great artist died from a serious illness	the great artist died
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
The accident happened on Saturday night	The accident happened on	the accident happened on saturday
A lost puppy walks towards the city park	a lost puppy walks towards the city park	a lost puppy walks
A picture hangs at his study	a picture hangs at his study	a picture hangs
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests
The young boy looks at the toy store window	the young boy looks at the toy store window	the young boy looks
The story begins in a small town	the story begins in a small town	the story begins
The old map points to a hidden treasure	the old map points to a hidden treasure	the old map points
A surprising revelation happened on their wedding anniversary	a surprising revelation happened on their wedding anniversary	a surprising revelation happened
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
the old man looked at the window	the old man looked at the window	the old man looked
