original	label	prediction	demonstration
那个电池始于不少工号	那个电池始于不少工号	那个电池始于	人家是个大型连锁
想法护照停在根本交换机上	想法护照停在根本交换机上	想法护照停在根本交换机	官方就需要这样的代表
公园指向行政的天线	公园指向行政的天线	公园指向的天线	你在外面问的什么价格啊
不少家庭生活在天线里	不少家庭生活在天线里	家庭生活在天线里	我说中了师傅的心思吧
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现在	十月一日为法定假日
男的结果放在友情科技	男的结果放在友情科技	男的放在友情科技	战争什么时候结束
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	## add && delete	你打下我电话吧
两个教育挂在你的科技	两个教育挂在你的科技	## reorder && delete	利民经常干这种事情的
老工作看向价格的对话	老工作看向价格的对话	老工作看向价格的	你昨儿个晚上又做贼去了
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书老乡	你下午几点结束
什么接口死于这老公	什么接口死于这老公	什么接口	这个是帖子在校内的分享
很多安排坐在事情上	很多安排坐在事情上	很多安排	这是一段对话
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	活的电子会计坐在	你公布了他的心里话
我的燃料冲到工号旁边	我的燃料冲到工号旁边	旁边	弱国就是大国的练兵场啊
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家酒店走向繁忙	那你还要寄送什么推荐信
机会水平位于所谓的学期	机会水平位于所谓的学期	## add && delete	你有朋友找女朋友吗
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	低矮的意思在电梯上	机会大把的
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	## add && delete	我可以包你晚饭
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	别的户口生活在	我这里是晚上八点
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看幸福	他在哪个城市啊
小客套走向常识	小客套走向常识	小客套走常识	你们是什么公司啊
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头	你发我邮箱
这些个大的男人死于好多高中	这些个大的男人死于好多高中	这些大男人死于高中	关键是铁饭碗刮不出多少金子来啊
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个大厕所在科技中	你可以加我人人
