original	label	prediction	demonstration
一条新的时间走向人品学前班	一条新的时间走向人品学前班	一条新的时间走向	我跟隔壁的用的一根网线
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟	送礼也是个技术活
很多安排坐在事情上	很多安排坐在事情上	## add && delete	那我明早一大早打吗
纯粹的师傅放在房东里	纯粹的师傅放在房东里	师傅放房东里	你在哪个医院
想法护照停在根本交换机上	想法护照停在根本交换机上	想法护照停在根本交换上	我靠我真不该换这个签名的
那个电池始于不少工号	那个电池始于不少工号	那个电池始于工号	到现在我都只能摸摸它脑袋而已
这些英语看向显卡	这些英语看向显卡	这些看向显卡	你有什么文艺啊
公园指向行政的天线	公园指向行政的天线	公园的天线	我不太好去她家做菜
男的结果放在友情科技	男的结果放在友情科技	男的放在友情科技	你什么时候去
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	活的电子会计坐在公安	那你找找那本书
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这同质化策划保存	各拥一片天
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到旁边	我哪有什么关系
什么接口死于这老公	什么接口死于这老公	什么接口死于	我们公司在搞什么二十周年庆
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个大厕所放在	这恰恰说明了应试教育的好处
小客套走向常识	小客套走向常识	小客套走向	民主是不是好东西
大型的达人摆放在网线中	大型的达人摆放在网线中	大型的达人	你就看请求那里
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你电梯上	那单词用什么书呢
两个教育挂在你的科技	两个教育挂在你的科技	两个挂在你的	你是个大好人啊
机会水平位于所谓的学期	机会水平位于所谓的学期	## add && delete	你是本科生还是研究生呢
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	酒店走向繁忙	你昨儿个晚上又做贼去了
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看幸福	我有你的啊
老工作看向价格的对话	老工作看向价格的对话	老工作看价格	你换用皮卡车吧
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活	我不开那样的
这屏幕发生在驾照精神	这屏幕发生在驾照精神	这屏幕驾照精神	你办个招行和广发的就行
