original	label	prediction	demonstration
这屏幕发生在驾照精神	这屏幕发生在驾照精神	这屏幕发生在	那个超声喷雾做的是球形的
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看向	你联系一下我们销售经理
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个大厕所	要不我还是周三周五去吧
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家酒店繁忙	我发离线文件吧
机会水平位于所谓的学期	机会水平位于所谓的学期	## add && delete	你能接受什么价位的
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	别的户口生活	我找别的系的
俺的势头放在游击队里	俺的势头放在游击队里	俺势头放游击队	我靠我真不该换这个签名的
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭在天线里	结果你不接我电话
老工作看向价格的对话	老工作看向价格的对话	老工作看向	那是旧社会
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这同质化策划保存在同事上	个人事情方面我觉得我没什么动力
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	## add && delete	你给我说你什么时候有时间
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	## add && delete	当权者不能保护自己的国民
这些个大的男人死于好多高中	这些个大的男人死于好多高中	这些个大的男人死于	那个旅馆在最边上
想法护照停在根本交换机上	想法护照停在根本交换机上	护照停在根本交换机上	我今天下午困死了
那个电池始于不少工号	那个电池始于不少工号	那个电池始于工号	你有宽胶带吗
男的结果放在友情科技	男的结果放在友情科技	男的结果放在	我们换了新领导
什么接口死于这老公	什么接口死于这老公	## add && delete	你上午还是下午有时间做
纯粹的师傅放在房东里	纯粹的师傅放在房东里	纯粹的放在房东里	你每个月包多少流量啊
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活在	但是公司有营销策划部门
这些英语看向显卡	这些英语看向显卡	这些英语看显卡	那单词用什么书呢
两个教育挂在你的科技	两个教育挂在你的科技	两个教育挂在你的	我不知道上次你看了群聊记录没
很多安排坐在事情上	很多安排坐在事情上	很多安排	这是我的微博
公园指向行政的天线	公园指向行政的天线	公园天线	家里一堆事情
小客套走向常识	小客套走向常识	小客套走向	反正我觉得自己是这样的
