original	label	prediction	demonstration
这些个大的男人死于好多高中	这些个大的男人死于好多高中	这些个大的男人死于高中	你喜欢什么样的呢
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向	提前批好像是公安之类的
很多安排坐在事情上	很多安排坐在事情上	很多安排	你看我身边的老乡
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现	我们看看做个标书
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头在游击队里	你上午还是下午有时间做
男的结果放在友情科技	男的结果放在友情科技	男的放在友情科技	你给我报个价吧
小客套走向常识	小客套走向常识	小客套常识	你入市了几多钱
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	活的电子会计坐在	人各有自己的生长规律和足迹
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生幸福	我睡了一觉醒了
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家酒店走向繁忙的	龙猫属于夜行动物
两个教育挂在你的科技	两个教育挂在你的科技	两个挂在你的科技	我跟隔壁的用的一根网线
这些英语看向显卡	这些英语看向显卡	这些英语看向	我们只是公司的一个部门
那个电池始于不少工号	那个电池始于不少工号	那个电池始于不少	这样我会有心理负担
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个大厕所放在	其实穷也是一种幸福
这屏幕发生在驾照精神	这屏幕发生在驾照精神	## reorder	我有点事你先考察一下
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭生活在	正好我现在一个同事有点心得
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	## add && delete	这是原先的模板
一条新的时间走向人品学前班	一条新的时间走向人品学前班	## reorder && delete	恩那我们周一周二会不会不上课啊
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到旁边	我们周二晚上还有女生节晚会
老工作看向价格的对话	老工作看向价格的对话	## add && delete	你有朋友找女朋友吗
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	多少低矮的意思发生	我都是问中文的
纯粹的师傅放在房东里	纯粹的师傅放在房东里	师傅放在里	你在哪个中介啊
什么接口死于这老公	什么接口死于这老公	什么接口死于	情感的缺失给我造成不少的困扰
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这同质化策划保存在同事样子	贪字头上一把刀
