original	label	prediction	demonstration
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	别的户口生活在里	我会吸取你们滴教训滴
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我燃料冲到工号旁边	你啥时候调去的
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	## add && delete	我只能找兼职的了
小客套走向常识	小客套走向常识	小客套走向	这个是什么意思
两个教育挂在你的科技	两个教育挂在你的科技	## add && delete	法律是道德的最底线
这屏幕发生在驾照精神	这屏幕发生在驾照精神	这屏幕发生	这就是贫富差距的显现
机会水平位于所谓的学期	机会水平位于所谓的学期	机会水平位于学期	我上次摸过她孩子的屁股了
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭在天线里	网上有房型图
什么接口死于这老公	什么接口死于这老公	什么接口死于这	我倒是没有考虑过这个问题
这些个大的男人死于好多高中	这些个大的男人死于好多高中	这些个大的男人死于	右边的是我同学
一条新的时间走向人品学前班	一条新的时间走向人品学前班	一条新的走向前班	那你还是打印电子版的吧
这些英语看向显卡	这些英语看向显卡	这些英语看向	俺双方都是独生子女
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假看新幸福	你在哪个中介啊
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头游击队	一节课多少钱
想法护照停在根本交换机上	想法护照停在根本交换机上	想法护照停在交换机上	我不知道上次你看了群聊记录没
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活在	独立学院的就一个商贸英语类专业
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这保存在同事样子上	我要打多少年的工呀
很多安排坐在事情上	很多安排坐在事情上	## add && delete	我和你一个年纪了
大型的达人摆放在网线中	大型的达人摆放在网线中	大型的达人摆放在	我找找他的照片
公园指向行政的天线	公园指向行政的天线	公园指向	我不再是以前的我
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现	防晒霜只能管一定时间
男的结果放在友情科技	男的结果放在友情科技	男的结果放在科技	我自己减少了和他们的交往
老工作看向价格的对话	老工作看向价格的对话	## add && delete	你有什么经验没
纯粹的师傅放在房东里	纯粹的师傅放在房东里	## add	洋插队是什么意思
