original	label	prediction	demonstration
男的结果放在友情科技	男的结果放在友情科技	男的结果放在	男孩不能太乖这是我的看法
这屏幕发生在驾照精神	这屏幕发生在驾照精神	这屏幕发生驾照精神	你是什么时候来
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书	你真是大好人
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头标书停在电子版上	改革开放不止一条路
什么接口死于这老公	什么接口死于这老公	什么接口	这是互相的
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到旁边	其实里面也没有爱情故事
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看向	我只听过他家的卸妆油
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭生活在里	你还有一个小时吧
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头放在	你是项目的骨干
哪个大厕所放在科技中	哪个大厕所放在科技中	## add && delete	我明后天再给教练长打电话
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	## add && delete	因为我这学期还不能做
两个教育挂在你的科技	两个教育挂在你的科技	两个	这个是耳鼻喉科的手术申请单
老工作看向价格的对话	老工作看向价格的对话	老工作看向价格	它和启明是一个概念
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	## add && delete	俺弟一结婚我就没什么事了
纯粹的师傅放在房东里	纯粹的师傅放在房东里	放在房东里	我再给他打个电话问问你
想法护照停在根本交换机上	想法护照停在根本交换机上	## same	这个交通标识是什么意思
一条新的时间走向人品学前班	一条新的时间走向人品学前班	新时间走向学前班	雨巷是总结过去的一种感情
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	同质化策划同事样子	你啥时候来
很多安排坐在事情上	很多安排坐在事情上	很多安排	我自己减少了和他们的交往
这些个大的男人死于好多高中	这些个大的男人死于好多高中	## add && delete	你在哪个城市呢
这些英语看向显卡	这些英语看向显卡	这些英语看向	好汉不提当年勇
小客套走向常识	小客套走向常识	小客套	人各有自己的生长规律和足迹
那个电池始于不少工号	那个电池始于不少工号	那个电池始于不少	那个男生很有你当年的感觉
公园指向行政的天线	公园指向行政的天线	公园指向天线	你在哪个医院
