original	label	prediction	demonstration
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这同质化策划保存	你要找天线供应商
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现	但是这个数是周五的股价
小客套走向常识	小客套走向常识	小客套走向	现在儿子肯定多数听老婆的
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	## same	队员家长送了张卡
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	电子会计公安	他们说暑假真不像个暑假
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头标书停电子版上	你喜欢什么样的呢
想法护照停在根本交换机上	想法护照停在根本交换机上	想法护照停在	哦我们没有冬季工装
一条新的时间走向人品学前班	一条新的时间走向人品学前班	新的时间走向学前班	各有各的好吧
我的燃料冲到工号旁边	我的燃料冲到工号旁边	燃料冲到工号旁边	访问学者能搞个球
不少家庭生活在天线里	不少家庭生活在天线里	## add	每天往返路程需要多长时间
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家酒店走向繁忙	我跟我同事一起弄她的店
这些英语看向显卡	这些英语看向显卡	这些	这个是帖子在校内的分享
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活	这个要熊猫的那个
很多安排坐在事情上	很多安排坐在事情上	很多安排坐在	右边的是我同学
老工作看向价格的对话	老工作看向价格的对话	老工作看向	你总是能看到营销的本质
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	多少低矮的意思	我知道那个地方
什么接口死于这老公	什么接口死于这老公	什么接口死于这	这个有点难度考倒了一堆人
机会水平位于所谓的学期	机会水平位于所谓的学期	机会位于学期	孩子们去同学家过生日去了
两个教育挂在你的科技	两个教育挂在你的科技	## add	提前批好像是公安之类的
男的结果放在友情科技	男的结果放在友情科技	男的结果放在	我到过一家天线厂
纯粹的师傅放在房东里	纯粹的师傅放在房东里	纯粹的师傅放在房东	男孩不能太乖这是我的看法
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个大厕所	我们好像不能一趟车
这屏幕发生在驾照精神	这屏幕发生在驾照精神	## add && delete	我可烦俺公公了
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看向	你的光环是你自己的
