original	label	prediction	demonstration
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头放在	这恰恰说明了应试教育的好处
那个电池始于不少工号	那个电池始于不少工号	## same	每天往返路程需要多长时间
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这同质化策划	我懂他的意思
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头标书停在电子版上	你可以去研究这种社会课题了
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭	这个是帖子在校内的分享
这经理生活在耐心公园	这经理生活在耐心公园	## add && delete	他搞他的我搞我的
公园指向行政的天线	公园指向行政的天线	公园指向	你是项目的骨干
想法护照停在根本交换机上	想法护照停在根本交换机上	想法护照在根本交换机上	你那边现在几点
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现在历史上	你只谈谈你的想法就行
这些个大的男人死于好多高中	这些个大的男人死于好多高中	## add && delete	我不同意师傅的看法
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	别的户口生活在宏伟护士里	他们住一楼
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	多少低矮的意思发生	现在你用什么模块
男的结果放在友情科技	男的结果放在友情科技	## same	结果你不接我电话
这些英语看向显卡	这些英语看向显卡	看向显卡	你的手套还在我这里
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	酒店繁忙	我都是问中文的
老工作看向价格的对话	老工作看向价格的对话	工作看向价格的对话	要不然我也旧貌换新颜啦
这屏幕发生在驾照精神	这屏幕发生在驾照精神	这屏幕	楼顶各种小花园
什么接口死于这老公	什么接口死于这老公	什么接口	你租我现在这个房间
纯粹的师傅放在房东里	纯粹的师傅放在房东里	纯粹的师傅放在	提前批好像是公安之类的
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个大厕所放在	我可没那么多钱
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向	防晒霜只能管一定时间
一条新的时间走向人品学前班	一条新的时间走向人品学前班	## add && delete	那是你一辈子的事耶
两个教育挂在你的科技	两个教育挂在你的科技	两个挂在你的	附近有个民生银行
大型的达人摆放在网线中	大型的达人摆放在网线中	达人摆放在网线中	你啥时候走
