original	label	prediction	demonstration
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到旁边	你去给我带个眼霜
公园指向行政的天线	公园指向行政的天线	公园指向天线	要不我还是周三周五去吧
那个电池始于不少工号	那个电池始于不少工号	那个电池始于	法律是道德的最底线
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生新幸福	哎我今天中午也没睡觉
大型的达人摆放在网线中	大型的达人摆放在网线中	## add	你入市了几多钱
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向	你看我的签名
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	## reorder && delete	所以我一个人在家
小客套走向常识	小客套走向常识	小客套	那你喜欢什么样的
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头标书	她是个行政的主任
什么接口死于这老公	什么接口死于这老公	## add && delete	你在哪个中介啊
两个教育挂在你的科技	两个教育挂在你的科技	挂在你的科技	你那里还有我的照片吗
哪个大厕所放在科技中	哪个大厕所放在科技中	## add && delete	你就带着这些东西来就好了
这屏幕发生在驾照精神	这屏幕发生在驾照精神	屏幕发生在驾照精神	你有什么事情跟大人讲了啊
男的结果放在友情科技	男的结果放在友情科技	男的放友情科技	我们做弱电系统
纯粹的师傅放在房东里	纯粹的师傅放在房东里	纯粹的师傅放在房东	你得要多长时间
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	## reorder && delete	我去年一年没有存到钱哦
一条新的时间走向人品学前班	一条新的时间走向人品学前班	一条新的时间走向	以前你是时尚达人
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	## add && delete	法官属于活跃分子呢
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	## reorder && delete	笨笨你什么时候放假啊
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家酒店繁忙	你回来不写比赛材料吗
老工作看向价格的对话	老工作看向价格的对话	老工作看价格	我没那么大勇气
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活	你叫什么名字
这些英语看向显卡	这些英语看向显卡	## add && delete	或者你那个地方什么时候会招人呢
想法护照停在根本交换机上	想法护照停在根本交换机上	想法护照停在	你看这面儿这个
