original	label	prediction	demonstration
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头在游击队里	我有你的啊
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个放在科技中	你回来不写比赛材料吗
很多安排坐在事情上	很多安排坐在事情上	很多安排事情	那你还是打印电子版的吧
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭生活在	你头像怎么是黑的
这些个大的男人死于好多高中	这些个大的男人死于好多高中	## add && delete	这个也是要计算机专业的吗
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	## add && delete	你几几年的啊
机会水平位于所谓的学期	机会水平位于所谓的学期	机会水平位于学期	奶妈是不是切断了跟外界滴联系啊
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家酒店走向繁忙的	你真是大好人
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现	骨子里奔流着新闻热血
男的结果放在友情科技	男的结果放在友情科技	## add && delete	我去年年底感冒了一次病了一周
这屏幕发生在驾照精神	这屏幕发生在驾照精神	## add && delete	利民经常干这种事情的
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士	那你喜欢什么样的
纯粹的师傅放在房东里	纯粹的师傅放在房东里	纯粹的师傅房东	会员分散啥意思
公园指向行政的天线	公园指向行政的天线	公园指向天线	这是互相的
老工作看向价格的对话	老工作看向价格的对话	老工作价格对话	一节课多少钱
那个电池始于不少工号	那个电池始于不少工号	## add && delete	你们那边可以挂国内老板吗
大型的达人摆放在网线中	大型的达人摆放在网线中	达人摆放在网线中	你去接触个新人嘛
这些英语看向显卡	这些英语看向显卡	这些看向显卡	哎我也是这个点起来的
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	活的电子会计坐在公安时间	我们得见个面
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书的老乡	我可烦俺公公了
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到旁边	我没见过她老公
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	多少低矮的	她是个行政的主任
这经理生活在耐心公园	这经理生活在耐心公园	这经理在耐心公园	俺弟一结婚我就没什么事了
一条新的时间走向人品学前班	一条新的时间走向人品学前班	一条新的时间走向	我还得赶点东西
