original	label	prediction	demonstration
这些个大的男人死于好多高中	这些个大的男人死于好多高中	## add && delete	我也不知道他们的投诉电话
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头在游击队里	我和你一个年纪了
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头标书停在电子版上	个个都几十个学生
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活在	她是个行政的主任
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	电子会计坐在时间上	你啥时候走
机会水平位于所谓的学期	机会水平位于所谓的学期	机会位于学期	她不能算新编辑啊
哪个大厕所放在科技中	哪个大厕所放在科技中	## add && delete	这里晚上十一点了
大型的达人摆放在网线中	大型的达人摆放在网线中	大型达人在网线中	你同学在哪家医院的
一条新的时间走向人品学前班	一条新的时间走向人品学前班	新时间走向班	我发离线文件吧
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到	新科技服务老传统
想法护照停在根本交换机上	想法护照停在根本交换机上	## add && delete	上下水是房间的大头
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向	网上有房型图
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看向	送礼也是个技术活
纯粹的师傅放在房东里	纯粹的师傅放在房东里	师傅放在房东里	要不你住我们家附近的酒店
这些英语看向显卡	这些英语看向显卡	英语显卡	我都没你们电话
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家走向眼霜	你有宽胶带吗
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	## add && delete	以后人类也是转基因的了呢
这屏幕发生在驾照精神	这屏幕发生在驾照精神	## add && delete	你受不了那种日子的
两个教育挂在你的科技	两个教育挂在你的科技	挂在你的科技	你发到我信箱吧
很多安排坐在事情上	很多安排坐在事情上	## reorder && delete	一白遮百丑呀
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	## add && delete	我这边没装远程软件
老工作看向价格的对话	老工作看向价格的对话	老工作看向价格	那个适合小婴儿
公园指向行政的天线	公园指向行政的天线	## add && delete	他们这几天可能去我小姨那里了
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现	那是外置天线
