original	label	prediction	demonstration
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个大厕所放在中	我在网上查不到什么资料啊
很多安排坐在事情上	很多安排坐在事情上	很多安排	我们好像不能一趟车
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到旁边	我们周二晚上还有女生节晚会
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	## add && delete	我可没那个耐心了
男的结果放在友情科技	男的结果放在友情科技	男的放在友情科技	很多厂家也会做甲方的工作
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家酒店走向繁忙的	你头像怎么是黑的
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	## add && delete	你可以查查你们那边的
一条新的时间走向人品学前班	一条新的时间走向人品学前班	一条新的时间走向	这个不是我的
俺的势头放在游击队里	俺的势头放在游击队里	## same	那门课的成绩就是专四成绩
机会水平位于所谓的学期	机会水平位于所谓的学期	机会位于学期	你真不知道男孩女孩啊
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	## add && delete	我带自己的电脑啊
小客套走向常识	小客套走向常识	小客套常识	你在哪个城市呢
大型的达人摆放在网线中	大型的达人摆放在网线中	大型的摆放在中	这是个语气词啊
老工作看向价格的对话	老工作看向价格的对话	老工作看向	灵感来自我师母
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向原版的	恩我有现成的
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现	基本她没管家庭和小孩
这屏幕发生在驾照精神	这屏幕发生在驾照精神	## add && delete	她不能算新编辑啊
这些英语看向显卡	这些英语看向显卡	这些看向显卡	我今天下午困死了
纯粹的师傅放在房东里	纯粹的师傅放在房东里	纯粹的师傅放在房东	我开了个淘宝店
想法护照停在根本交换机上	想法护照停在根本交换机上	## add && delete	一个破游戏圈多少钱啊
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	## same	那我明天早上跟她说吧
公园指向行政的天线	公园指向行政的天线	公园的天线	你有什么文艺啊
那个电池始于不少工号	那个电池始于不少工号	那个电池始于不少	自己发自己的
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	同质化策划保存在同事样子上	我一般这个时候会上
