original	label	prediction	demonstration
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活在	我查了那是个退税公司
这些个大的男人死于好多高中	这些个大的男人死于好多高中	这些个死于高中	那是你一辈子的事耶
小客套走向常识	小客套走向常识	小走向	这是谁的主意啊
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	电子会计坐在公安	我先看看他们接不接受境外信用卡
这屏幕发生在驾照精神	这屏幕发生在驾照精神	## add && delete	你喜欢什么样的呢
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到	那是外置天线
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现	你的光环是你自己的
什么接口死于这老公	什么接口死于这老公	什么接口死于这	这样我会有心理负担
不少家庭生活在天线里	不少家庭生活在天线里	家庭生活在天线里	我周日晚上走
那个电池始于不少工号	那个电池始于不少工号	那个电池	动车多少钱
想法护照停在根本交换机上	想法护照停在根本交换机上	## add && delete	你在哪个中介啊
机会水平位于所谓的学期	机会水平位于所谓的学期	机会水平位于学期	他们在做大事情
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向原版的	只不过大部分人有些特殊需求
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头标书停在电子版上	我说中了师傅的心思吧
老工作看向价格的对话	老工作看向价格的对话	老工作看价格对话	我登我的看看
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家酒店繁忙	最多你是多买一个保险
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	## add && delete	我们做弱电系统
很多安排坐在事情上	很多安排坐在事情上	## add	你认识新朋友没
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这同质化策划保存在同事上	我又带进来一个败家娘们
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头放在	这里有个天伦不不孕不育医院
大型的达人摆放在网线中	大型的达人摆放在网线中	大型的摆放在中	你是男的女的呀
这些英语看向显卡	这些英语看向显卡	这些英语看显卡	你入市了几多钱
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看幸福	我在抢专家号呢
一条新的时间走向人品学前班	一条新的时间走向人品学前班	新时间走向人品学前班	预产期什么时候啊
