original	label	prediction	demonstration
这些英语看向显卡	这些英语看向显卡	这些英语看显卡	你大概是什么时候过来
这些个大的男人死于好多高中	这些个大的男人死于好多高中	这些个大的男人	排名啥时出啊
小客套走向常识	小客套走向常识	小客套	呵呵我无名小卒一枚
那个电池始于不少工号	那个电池始于不少工号	那个电池	家里一堆事情
机会水平位于所谓的学期	机会水平位于所谓的学期	机会水平	你是哪个车次
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书老乡	蜡烛两头烧
想法护照停在根本交换机上	想法护照停在根本交换机上	## add && delete	我们好像不能一趟车
大型的达人摆放在网线中	大型的达人摆放在网线中	大型的达人	我刚去看了一下所谓的米和油
男的结果放在友情科技	男的结果放在友情科技	男的放在友情科技	你昨儿个晚上又做贼去了
哪个大厕所放在科技中	哪个大厕所放在科技中	## add	文科基本上生活中有点用
这屏幕发生在驾照精神	这屏幕发生在驾照精神	## add && delete	你可以查查你们那边的
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	低矮的意思发生在你的电梯上	你雇了多少个人
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现	他们住一楼
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭生活在	它和启明是一个概念
这经理生活在耐心公园	这经理生活在耐心公园	经理生活在耐心公园	这是原版的
老工作看向价格的对话	老工作看向价格的对话	## add && delete	大屏幕是台电脑吗
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到旁边	我们只是公司的一个部门
公园指向行政的天线	公园指向行政的天线	公园指向天线	我去找我妈吃饭了
一条新的时间走向人品学前班	一条新的时间走向人品学前班	新时间走人品班	你不来交啥钱呀
两个教育挂在你的科技	两个教育挂在你的科技	两个教育挂	我们住哪个酒店
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看新幸福	你给我说你什么时候有时间
纯粹的师傅放在房东里	纯粹的师傅放在房东里	师傅	囚犯参与剧本创作获殊荣
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	## add && delete	你有什么事情跟大人讲了啊
什么接口死于这老公	什么接口死于这老公	什么接口死于	我就见过好几个这样的人
