original	label	prediction	demonstration
纯粹的师傅放在房东里	纯粹的师傅放在房东里	纯粹的师傅放房东里	你是什么时候来
小客套走向常识	小客套走向常识	小客套走向	那个旅馆在最边上
这经理生活在耐心公园	这经理生活在耐心公园	## reorder	你啥时候调去的
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向原版的	然后你把钱打到我的支付宝
这些英语看向显卡	这些英语看向显卡	这些看向显卡	你只谈谈你的想法就行
公园指向行政的天线	公园指向行政的天线	公园的天线	不过她应该也有些心理准备了
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	同质化策划保存在样子上	咱没有那个本事跟着去学肯定不行
大型的达人摆放在网线中	大型的达人摆放在网线中	大型达人摆放网线中	我登我的看看
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头标书停在	右边的是我同学
机会水平位于所谓的学期	机会水平位于所谓的学期	## add && delete	主专业不是我们学院就是学校的
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	多少低矮的意思发生在电梯上	我是借用你的话
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	别的户口生活在宏伟护士里	我哪有什么关系
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头在游击队里	我没有干妈的微信
那个电池始于不少工号	那个电池始于不少工号	那个电池始于	我也正在物色这方面的人才
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到	忠厚保持到生命最后一刻
老工作看向价格的对话	老工作看向价格的对话	## add && delete	大屏幕是台电脑吗
很多安排坐在事情上	很多安排坐在事情上	很多安排坐事情上	以后人类也是转基因的了呢
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	活的电子会计在公安时间上	你是个大好人啊
一条新的时间走向人品学前班	一条新的时间走向人品学前班	一条新的时间走向	你头像怎么是黑的
什么接口死于这老公	什么接口死于这老公	什么接口死于	这样的说法也震动了我们那个政府
这些个大的男人死于好多高中	这些个大的男人死于好多高中	## add && delete	她安排了别的任务
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看的	他教刑事司法系统的
想法护照停在根本交换机上	想法护照停在根本交换机上	## add && delete	我也是去看看学校和环境的
两个教育挂在你的科技	两个教育挂在你的科技	两个教育挂在你	那里有没有华人同事
