original	label	prediction	demonstration
男的结果放在友情科技	男的结果放在友情科技	男的结果放在	我哪有什么关系
想法护照停在根本交换机上	想法护照停在根本交换机上	护照停在交换机上	你真不知道男孩女孩啊
这屏幕发生在驾照精神	这屏幕发生在驾照精神	这屏幕在精神	他在哪个城市啊
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	## add && delete	你可以去研究这种社会课题了
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	活的电子会计坐在公安时间	老公也在我这边
这些个大的男人死于好多高中	这些个大的男人死于好多高中	这些个大的男人死于好多	这样的说法也震动了我们那个政府
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个厕所放在科技中	我们这里要调试大屏幕用的
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	出现在历史上	你在哪个城市呢
小客套走向常识	小客套走向常识	小客套走向	那盘菜是红烧排骨
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	## add && delete	我不知道他们邮箱
那个电池始于不少工号	那个电池始于不少工号	## add && delete	电脑就是处理器显卡和内存
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这同质化策划保存	欧元促进电子商务发展
很多安排坐在事情上	很多安排坐在事情上	很多安排	这是一段对话
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭生活	我们看看做个标书
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	## reorder && delete	我下周二就走了
两个教育挂在你的科技	两个教育挂在你的科技	两个教育挂在	它的副董是我的同学
老工作看向价格的对话	老工作看向价格的对话	老工作的对话	你是男的女的呀
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假看向新的幸福	钱到位你就买你单位的吧
公园指向行政的天线	公园指向行政的天线	公园指向行政天线	你有什么事情跟大人讲了啊
纯粹的师傅放在房东里	纯粹的师傅放在房东里	## same	人家是个大型连锁
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	酒店繁忙	我有新衣服
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向老乡	这是你们什么时候拍的
俺的势头放在游击队里	俺的势头放在游击队里	俺的势头在游击队里	你是什么时候来
机会水平位于所谓的学期	机会水平位于所谓的学期	机会位于学期	你昨儿个晚上又做贼去了
