original	label	prediction	demonstration
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现在历史上	你只谈谈你的想法就行
不少家庭生活在天线里	不少家庭生活在天线里	## add && delete	旧手机还在你那里吗
大型的达人摆放在网线中	大型的达人摆放在网线中	大型的达人	我有招行的储蓄卡
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生新幸福	哎我今天中午也没睡觉
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	电子会计坐公安时间	我写点东西你早点休息吧
这些个大的男人死于好多高中	这些个大的男人死于好多高中	## add && delete	这个能不能加点内容
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这同质化策划保存在	上下水是房间的大头
老工作看向价格的对话	老工作看向价格的对话	老工作看向价格	那你就宁愿不结婚也不要华师的
俺的势头放在游击队里	俺的势头放在游击队里	## same	这样的说法也震动了我们那个政府
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	多少低矮的意思	我还有点佩服你师傅这样的人
机会水平位于所谓的学期	机会水平位于所谓的学期	机会水平学期	各拥一片天
胖标书指向原版的老乡	胖标书指向原版的老乡	## add	心里各种状况或多或少有个预判
小客套走向常识	小客套走向常识	小客套走常识	钱到位你就买你单位的吧
一条新的时间走向人品学前班	一条新的时间走向人品学前班	## add && delete	这是谁的主意啊
什么接口死于这老公	什么接口死于这老公	什么接口死于	这个不是我的
公园指向行政的天线	公园指向行政的天线	公园指向天线	这是你们什么时候拍的
很多安排坐在事情上	很多安排坐在事情上	## add && delete	你大概是什么时候过来
这些英语看向显卡	这些英语看向显卡	这些英语看显卡	反正我是没洗过十多分钟的脸
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	## add	他们这几天可能去我小姨那里了
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到	原来你是个诗人
这屏幕发生在驾照精神	这屏幕发生在驾照精神	这屏幕发生	我说你哥的孩子
两个教育挂在你的科技	两个教育挂在你的科技	两个教育	社会主义不止一条路
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头停在电子版上	你们是什么公司啊
男的结果放在友情科技	男的结果放在友情科技	男的放在友情科技	户口下月才能迁
