original	label	prediction	demonstration
这些英语看向显卡	这些英语看向显卡	这些英语看向	我打不通你的
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	酒店繁忙	自己处理点自己的事情
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭在天线里	社会主义不止一条路
这屏幕发生在驾照精神	这屏幕发生在驾照精神	这屏幕发生	我是借用你的话
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向老乡	那是我们的共性
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这同质化策划保存在	那个旅馆在最边上
两个教育挂在你的科技	两个教育挂在你的科技	两个教育	这是个永恒的矛盾
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	## add && delete	我带自己的电脑啊
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	别的户口	那是理想国
大型的达人摆放在网线中	大型的达人摆放在网线中	大型达人摆网线中	交流有些障碍了啊
这些个大的男人死于好多高中	这些个大的男人死于好多高中	这些个大的男人死于	我只听过他家的卸妆油
哪个大厕所放在科技中	哪个大厕所放在科技中	大厕所放在科技中	战争什么时候结束
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活在公园	这个也是要计算机专业的吗
小客套走向常识	小客套走向常识	小客套常识	你想多少人
纯粹的师傅放在房东里	纯粹的师傅放在房东里	## add && delete	官方就需要这样的代表
一条新的时间走向人品学前班	一条新的时间走向人品学前班	新时间走向学前班	肠炎也不是什么疑难杂症啊
男的结果放在友情科技	男的结果放在友情科技	男的结果放在	他不管这些子事
什么接口死于这老公	什么接口死于这老公	什么这老公	孩子们去同学家过生日去了
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	## add && delete	你认识新朋友没
公园指向行政的天线	公园指向行政的天线	公园指向	小孩教育真是一门大学问
老工作看向价格的对话	老工作看向价格的对话	老工作看价格	这周或下周我去社里
想法护照停在根本交换机上	想法护照停在根本交换机上	想法护照停在	家是外地的
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位出现	他不是你亲弟弟吧
我的燃料冲到工号旁边	我的燃料冲到工号旁边	燃料冲工号旁边	你发我邮箱
