original	label	prediction	demonstration
一条新的时间走向人品学前班	一条新的时间走向人品学前班	一条新的时间走向	这样我会有心理负担
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	两个价位	家里一堆事情
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭	我周六凌晨的飞机
这经理生活在耐心公园	这经理生活在耐心公园	这经理在耐心公园	你在哪个医院
很多安排坐在事情上	很多安排坐在事情上	很多安排坐在	只不过大部分人有些特殊需求
这屏幕发生在驾照精神	这屏幕发生在驾照精神	## add && delete	不过我不敢跟她聊这方面
什么接口死于这老公	什么接口死于这老公	什么接口	那是教育的问题
男的结果放在友情科技	男的结果放在友情科技	男的	交流有些障碍了啊
想法护照停在根本交换机上	想法护照停在根本交换机上	想法护照停在	这是你们的考验
纯粹的师傅放在房东里	纯粹的师傅放在房东里	纯粹的放在里	这就是主任的啊
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	一家酒店走向繁忙	官方就需要这样的代表
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个放在中	你那里还有我的照片吗
老工作看向价格的对话	老工作看向价格的对话	工作看向价格的对话	或者你那个地方什么时候会招人呢
小客套走向常识	小客套走向常识	小客套	老公是华师的
俺的势头放在游击队里	俺的势头放在游击队里	俺势头放游击队	呵呵咱俩差一辈了
公园指向行政的天线	公园指向行政的天线	公园指向天线	这是互相的
这些英语看向显卡	这些英语看向显卡	这些看向显卡	你是啥星座呀
这些个大的男人死于好多高中	这些个大的男人死于好多高中	于好多高中	那你就买植村秀的
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头标书停在夜行的	这个是小影院
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	活的电子会计坐在公安	小孩教育真是一门大学问
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	低矮的意思	那我这个星期不回去
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到旁边	我又带进来一个败家娘们
机会水平位于所谓的学期	机会水平位于所谓的学期	机会水平	这是同学的婚纱
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生新幸福	以后人类也是转基因的了呢
