original	label	prediction	demonstration
很多安排坐在事情上	很多安排坐在事情上	很多安排坐在	队员家长送了张卡
一条新的时间走向人品学前班	一条新的时间走向人品学前班	一条新的时间	你机票多少钱
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	电子会计坐在公安时间上	国内驾照只能在这里用一个月
机会水平位于所谓的学期	机会水平位于所谓的学期	机会位于学期	户口下月才能迁
两个教育挂在你的科技	两个教育挂在你的科技	两个教育挂在	我要打造巨星品牌
胖标书指向原版的老乡	胖标书指向原版的老乡	## add	心里各种状况或多或少有个预判
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头停在电子版上	我们搞情侣款啊
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	这策划保存在样子上	这个有点难度考倒了一堆人
大型的达人摆放在网线中	大型的达人摆放在网线中	## add	昨天那个阿姐叫什么名字啊
别的户口生活在其他宏伟护士里	别的户口生活在其他宏伟护士里	## add && delete	我预约了心脏彩超
那个电池始于不少工号	那个电池始于不少工号	电池始于工号	忍字头上一把刀啊
老工作看向价格的对话	老工作看向价格的对话	老工作看价格	所以你先做前期工作
不少家庭生活在天线里	不少家庭生活在天线里	家庭天线里	你们那边晚上几点啦
公园指向行政的天线	公园指向行政的天线	公园指向天线	我也不知道他们的投诉电话
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个厕所放在科技中	我们这里要调试大屏幕用的
小客套走向常识	小客套走向常识	小客套	你们是开发商还是营销策划
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	## add && delete	你可以去研究这种社会课题了
暑假医生看向新的幸福	暑假医生看向新的幸福	暑假医生看向幸福	社会主义不止一条路
什么接口死于这老公	什么接口死于这老公	## add && delete	你去选课网站看下培养计划
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活在	这样的说法也震动了我们那个政府
这些英语看向显卡	这些英语看向显卡	这些看向显卡	我今天下午困死了
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	在你的电梯上	不过我在你后面
我的燃料冲到工号旁边	我的燃料冲到工号旁边	燃料工号旁边	土地基金增强特区财政储备
这屏幕发生在驾照精神	这屏幕发生在驾照精神	## add	同学之间没有那多客套
