demonstration	test_sentence	response
Both the Peasants and Rural Solidarity are forming new political parties for farmers	The company paid five cents a share in April	the company paid
These revised figures also may explain some of the recent strength of the dollar	Neither testified at the previous trials	neither testified
The two are also signing a trade agreement	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	stocks rose slightly
The mining zone has thus remained one of the most desolate places in Africa	There were no new issues	there were no new
But even a little appeal has a lot of attraction these days	Conversation was subdued as most patrons watched the latest market statistics on television	conversation was subdued as most patrons watched television
Waxman sells a variety of hardware products for the home repair market	Their discomfort is a healthy sign for the rest of us	their discomfort is
You built your career on prejudice and hate	Demand will come first from programming production companies and then from television stations	fail to follow
It is hoped that other Japanese would then follow the leader	The stock market is certainly not too big for the Fed to handle	fail to follow
You built your career on prejudice and hate	The estimate includes the results of new stores	the estimate includes new stores
Recruiter Donald Clark does note an increase in searches for minority candidates	He also leads an opulent life style	he also leads
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Silicon Valley heaved a sigh of relief yesterday	silicon valley heaved a sigh of relief
He had been associate professor in the department of finance at Seton Hall University	Still the Salinger decision created a strong presumption against fair use of unpublished materials	still the salinger decision created
The company rejected those past proposals	The executive branch bears the first responsibility for timidity	the executive branch bears
He hit the lanes three years ago on the advice of his doctor	Business was slow because many companies were closed yesterday	business was slow because many closed yesterday
The two are also signing a trade agreement	But this raises added cost barriers to urban entrepreneurship	but this raises added cost barriers
It is hoped that other Japanese would then follow the leader	Neither testified at the previous trials	neither testified
Never once did she gasp for air or mop her brow	Accepted theories state that investors require higher returns on riskier investments	accepted theories state that investors require higher returns on riskier
That means huge travel bills	He said that the research team had no financial stake in the drug	he said
Recruiter Donald Clark does note an increase in searches for minority candidates	Other temperature data show similar unexplained swings	other temperature data show
It also licenses optically based data storage and retrieval devices	Not everyone believes that the good times are over for shippers	not everyone believes
Drug companies lost a major liability case	Estimated volume was three million ounces	estimated volume was
Their verdict on real estate is almost the same	Repeat customers also can purchase luxury items at reduced prices	repeat customers also can purchase luxury items at reduced
Some industry groups consistently weather the storm better than others	He cut her hair	fail to follow
It is hoped that other Japanese would then follow the leader	The state can also bar Drexel as an investment adviser	the state can also bar drexel
