demonstration	test_sentence	response
The mining zone has thus remained one of the most desolate places in Africa	Sierra Tucson operates an addiction treatment center	sierra tucson operates
They looked at the miniature and saw a giant folly	Colgate sold its hospital supply and home health care business last year	colgate sold
They looked at the miniature and saw a giant folly	It added that no discussions about such a sale are under way	it added that no discussions about such a sale are under
Civil suits against planners by clients seeking recovery of funds are increasingly common	The company expects all branches to reopen today	the company expects all branches to reopen
Developers are also eyeing the real estate portfolios of major corporations	Los Angeles will be the site of a new entertainment division for the ad agency	los angeles will be the site
These big stocks greatly influence the Nasdaq Composite Index	The dollar weakened against most other major currencies	the dollar weakened against most
Civil suits against planners by clients seeking recovery of funds are increasingly common	That is for the future	for the future
Repeat customers also can purchase luxury items at reduced prices	This is a story about suckers	this is a story
Opponents show that there are already more funds available than commendable reform efforts	No one has alleged that the donations were by themselves illegal	no one has alleged that the donations were
Most earn high ratings from credit agencies	He will continue as a director	he will continue
The company earns about half its revenue overseas and plans further expansion	Florida National said yesterday that it remains committed to the merger	florida national remains committed to the merger
It is hoped that other Japanese would then follow the leader	Accounting problems raise more knotty issues	fail to follow
You already know the answer	Opponents show that there are already more funds available than commendable reform efforts	opponents show that there are already more funds available
The engine plant may encompass plans for a joint components venture with Jaguar	The pilots argued that this triggered a pay raise for them	the pilots argued that this triggered
Giant has interests in cement making and newsprint	The plan lacked a withdrawal timetable	the plan lacked
The team then proposed modifications in their work process to management	Mazda makes the Tracer for Ford	mazda makes for ford
Developers are also eyeing the real estate portfolios of major corporations	The British economy is hardly the picture of health these days	the british economy is hardly the picture of health
Civil suits against planners by clients seeking recovery of funds are increasingly common	Not even all the brokerage firms see clear sailing ahead	not even all the brokerage firms see ahead
Miss Brady is deputy director of the Russian Research Foundation in London	The current ruble rate has long been out of line with the black market	the current ruble rate has long been
He expects Citicorp to take a similar step this year	There are few factories and no mines	few factories no mines
Size and weight considerations also have limited screen displays	Wang got into financial trouble because of bloated overhead and overly optimistic sales forecasts	wang got into financial trouble because of bloated overhead and overly optimistic
Analysts had mixed responses to the results	Kia is reportedly also considering such a plan	kia is reportedly
Employees wore identification badges listing not only their names but also their dates of hire	One bank stock was a winner	one bank stock
Most earn high ratings from credit agencies	The expansion is subject to approval by federal and Wisconsin environmental regulators	the expansion is subject to approval
