demonstration	test_sentence	response
Drug companies lost a major liability case	These revised figures also may explain some of the recent strength of the dollar	fail to follow
But even a little appeal has a lot of attraction these days	The quake postponed the third and fourth games of the World Series	the quake postponed the third and fourth games of the series
Most analysts had expected a sharper decline after the steep rise in August	The engine plant may encompass plans for a joint components venture with Jaguar	the engine plant may encompass plans with jaguar
He hit the lanes three years ago on the advice of his doctor	The charges said that one worker suffered permanent brain damage from mercury exposure	one worker suffered permanent brain damage from mercury exposure
But even a little appeal has a lot of attraction these days	Los Angeles will be the site of a new entertainment division for the ad agency	fail to follow
Employees wore identification badges listing not only their names but also their dates of hire	It added that no discussions about such a sale are under way	it added
Simpson is an auto parts maker	The collapse of the span has provoked surprise and anger among state officials	the collapse of the span has provoked
Now it is their fellow Turks arriving as refugees from Bulgaria	The third principal in the South Gardens adventure did have garden experience	the third
The company rejected those past proposals	Americans may not be so lucky the next time	americans may not be so lucky
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The original owners happily repaid the claim and took their kylix home	the original owners happily repaid and took their kylix home
The company earns about half its revenue overseas and plans further expansion	Opponents show that there are already more funds available than commendable reform efforts	opponents show more funds available than commendable reform efforts
He had been associate professor in the department of finance at Seton Hall University	It has some of the highest costs in the league	it has some of the highest
Broader averages also posted modest gains	The appeals court disagreed on both counts	the appeals court disagreed
Giant has interests in cement making and newsprint	Talk show hosts quickly change the topic	talk show hosts
Analysts expect others to show a similar pattern	But its surprising progress so far holds important lessons for companies in trouble	but its surprising progress so far holds important lessons for companies
Opponents show that there are already more funds available than commendable reform efforts	But the chain is quickly realizing the pitfalls of such endorsements	but the chain is quickly realizing
The legal fight was the subject of a Wall Street Journal story yesterday	The Orange Workers are just putting this preaching into practice	the orange workers are
The recent sharp stock market decline exacerbated those concerns	The loss of more customers is the latest in a string of problems	fail to follow
The closely watched funds rate is what banks charge each other on overnight loans	The lawyers are now in charge of our national security	the lawyers are now in charge of national security
Now it is their fellow Turks arriving as refugees from Bulgaria	News of the bid drew sharp criticism from other computer companies and industry observers	news of the bid drew sharp criticism
It was the highest bid in history for a work of art	The Pentagon is a haunted house	the pentagon is
Now it is their fellow Turks arriving as refugees from Bulgaria	The new rules will allow investors to buy foreign stocks directly	the new rules will allow
He expects Citicorp to take a similar step this year	They have about seven candidates	they have candidates
The company earns about half its revenue overseas and plans further expansion	We put some orders together	we put orders together
