demonstration	test_sentence	response
The team then proposed modifications in their work process to management	The problem is not that the Fed is too unresponsive to the public interest	the problem is not that the fed is unresponsive to the public interest
The report of the bankruptcy filing stunned Hollywood executives and investors	Their discomfort is a healthy sign for the rest of us	their discomfort is a healthy sign
Only now is it undergoing a badly needed facelift	Continental Air replaced its top executive for the sixth time in as many years	continental air replaced its top executive
But even a little appeal has a lot of attraction these days	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	stocks rose slightly as trading activity slowed earlier this week
Opponents show that there are already more funds available than commendable reform efforts	Not everyone believes that the good times are over for shippers	not everyone believes
They looked at the miniature and saw a giant folly	Both the Peasants and Rural Solidarity are forming new political parties for farmers	both the peasants and rural solidarity are forming
Housing has been weak all year and especially so in the past five months	Joanne Lipman contributed to this article	fail to follow
Drug companies lost a major liability case	The mining zone has thus remained one of the most desolate places in Africa	the mining zone has remained desolate
These big stocks greatly influence the Nasdaq Composite Index	This occurred partly because of more competition as the number of new businesses surged	this occurred partly because of more competition
The team then proposed modifications in their work process to management	The ambitious Warsaw project still awaits approval by city officials	the warsaw project still awaits approval
Those current holders would also receive minority interests in the new company	Not everyone believes that the good times are over for shippers	not everyone believes
Employees wore identification badges listing not only their names but also their dates of hire	This phenomenon often makes stock prices swing wildly at the end of the trading session	this phenomenon often makes
Drug companies lost a major liability case	Both figures were record highs	both figures were highs
Analysts expect others to show a similar pattern	The pilots argued that this triggered a pay raise for them	the pilots argued that this triggered a pay raise
The engine plant may encompass plans for a joint components venture with Jaguar	The Pentagon foiled the plan	the pentagon foiled
These big stocks greatly influence the Nasdaq Composite Index	It was the highest bid in history for a work of art	it was the highest bid in history
The company rejected those past proposals	The Northeast has been holding its own in the population race	the northeast has been holding its own
Housing has been weak all year and especially so in the past five months	But there is a grimly ironic twist to the Columbia loss	there is a grimly ironic twist to the columbia loss
That means huge travel bills	Japan is not a political country	japan is not
Simpson is an auto parts maker	We go from one to the other	we go
You built your career on prejudice and hate	He no longer crowds the plate	he no longer crowds plate
Housing has been weak all year and especially so in the past five months	Surveys suggested that consumer confidence was high before Friday	surveys suggested consumer confidence was high before friday
East Bloc pollution data typically have been state secrets	This is the commercial version	fail to follow
Their verdict on real estate is almost the same	The Orange Workers are just putting this preaching into practice	the orange workers are just putting this preaching into
