demonstration	test_sentence	response
Only now is it undergoing a badly needed facelift	But the deal fell apart last week for lack of financing	but the deal fell apart last week
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	He was only the sixth federal judge ever ousted from office after an impeachment trial	fail to follow
The team then proposed modifications in their work process to management	It is hoped that other Japanese would then follow the leader	it is hoped that others would then follow the leader
But weak car sales raise questions about future demand from the auto sector	Parts are a tragedy	fail to follow
Ashland had a loss	No one has alleged that the donations were by themselves illegal	no one has alleged that the donations were by themselves
The company earns about half its revenue overseas and plans further expansion	It was an audacious claim	it was a claim
Drug companies lost a major liability case	Conner already is shipping its new drives	conner is shipping its new drives
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	The tribe is one of the poorest in the Pacific Northwest	the tribe is one of the poorest
Broader averages also posted modest gains	Nissan created its quake ad in a weekend	nissan created its quake ad
These revised figures also may explain some of the recent strength of the dollar	The company expects all branches to reopen today	the company expects
These revised figures also may explain some of the recent strength of the dollar	Announced and anticipated purchases from foreign countries are also supporting futures prices	announced and anticipated purchases from foreign countries are also supporting
Ashland had a loss	Nausea seems a commonplace symptom	nausea seems
Size and weight considerations also have limited screen displays	This phenomenon often makes stock prices swing wildly at the end of the trading session	this phenomenon often makes stock prices swing wildly at the end
The report of the bankruptcy filing stunned Hollywood executives and investors	They will be the next hot magazines	they will be the next hot
But weak car sales raise questions about future demand from the auto sector	Utilities management is a major commercial niche	fail to follow
The key here is the ambition of state Attorney General John Van de Kamp	But lawmakers of both parties agree that the streamlining was temporary	but lawmakers of both parties agree
Analysts had mixed responses to the results	Merck is one of the most important stocks in the Major Market Index	merck is
Ashland had a loss	The struggle over capital gains is the most important game in town	the struggle over capital gains
It arrived just as the regulator handling such operations was retiring	Funds for drilling may inch up more next year if oil prices stay stable	fail to follow
The closely watched funds rate is what banks charge each other on overnight loans	We scuttled along for a few feet before he plunged us into the drink again	we scuttled along before he plunged us into the drink again
Employees wore identification badges listing not only their names but also their dates of hire	The loss of more customers is the latest in a string of problems	the loss of more customers
But weak car sales raise questions about future demand from the auto sector	New telephone lines posted healthy growth	new telephone lines posted
The recent sharp stock market decline exacerbated those concerns	Some lagging competitors even may leave the personal computer business altogether	fail to follow
You built your career on prejudice and hate	Institutional investors mostly remained on the sidelines Tuesday	institutional investors remained on the sidelines tuesday
