demonstration	test_sentence	response
Employees wore identification badges listing not only their names but also their dates of hire	Van Nghe quickly made influential enemies	van nghe made enemies
The company rejected those past proposals	Demand will come first from programming production companies and then from television stations	demand will come first
Ashland had a loss	Continental Air replaced its top executive for the sixth time in as many years	continental air replaced its top executive
The company rejected those past proposals	The woman won the bet	the woman won
Analysts had mixed responses to the results	Size and weight considerations also have limited screen displays	size and weight considerations also have limited
Drug companies lost a major liability case	The new exchange drew instant recognition from an unwelcome quarter	the new exchange drew instant recognition
He had been associate professor in the department of finance at Seton Hall University	The result is mistrust and criticism from all around	the result is
Connaught is a biotechnology research and vaccine manufacturing concern	Business was slow because many companies were closed yesterday	business was slow
Other network applications have very different goals	Some are even coming up with their own novel designs	some are even coming up with their own
It also licenses optically based data storage and retrieval devices	These revised figures also may explain some of the recent strength of the dollar	these revised figures also may explain
Miss Brady is deputy director of the Russian Research Foundation in London	One big problem has been the thoroughbred racehorse market	one big problem has been
He hit the lanes three years ago on the advice of his doctor	Yet the bill is riding high on the furor over drug trafficking	yet the bill is riding high on drug trafficking
Most earn high ratings from credit agencies	New telephone lines posted healthy growth	telephone lines grow
The dispute was the subject of a Wall Street Journal article in August	Civil suits against planners by clients seeking recovery of funds are increasingly common	civil suits against planners are increasingly common
Ashland had a loss	The agreement is subject to completion of a definitive amendment and appropriate approvals	the agreement is subject to completion
The company earns about half its revenue overseas and plans further expansion	No one has alleged that the donations were by themselves illegal	no one has alleged the donations were illegal
The mining zone has thus remained one of the most desolate places in Africa	The current ruble rate has long been out of line with the black market	the current ruble rate has long been
He hit the lanes three years ago on the advice of his doctor	Abortion via the pill is far more of an ordeal than conventional surgical abortion	abortion is far more of an ordeal than conventional surgical abortion
Repeat customers also can purchase luxury items at reduced prices	Those viewers find the show confusing	fail to follow
That means huge travel bills	Mervin Lung remains chairman and chief executive officer	mervin lung remains
The dispute was the subject of a Wall Street Journal article in August	We put some orders together	we put some orders
Recruiter Donald Clark does note an increase in searches for minority candidates	It can happen in any industry	it can happen
Drug companies lost a major liability case	Canadian investment rules require that big foreign takeovers meet that standard	canadian investment rules require
The company rejected those past proposals	He withdrew the remark	he withdrew
