demonstration	test_sentence	response
Repeat customers also can purchase luxury items at reduced prices	Accepted theories state that investors require higher returns on riskier investments	accepted theories state that investors require higher returns
Employees wore identification badges listing not only their names but also their dates of hire	Not even all the brokerage firms see clear sailing ahead	not even all the brokerage firms see
Waxman sells a variety of hardware products for the home repair market	The investors range from elderly widows to affluent professionals	the investors range
It also licenses optically based data storage and retrieval devices	Repeat customers also can purchase luxury items at reduced prices	repeat customers also can purchase
Both the Peasants and Rural Solidarity are forming new political parties for farmers	Flesh goes to total alert for flight or fight	flesh goes to total alert
Those current holders would also receive minority interests in the new company	Most analysts had expected a sharper decline after the steep rise in August	most analysts had expected
Most earn high ratings from credit agencies	He previously held similar responsibilities	he previously held
Never once did she gasp for air or mop her brow	The problem is not that the Fed is too unresponsive to the public interest	the problem is not that the fed is too unresponsive
But weak car sales raise questions about future demand from the auto sector	But its surprising progress so far holds important lessons for companies in trouble	but its surprising progress so far holds important lessons
Civil suits against planners by clients seeking recovery of funds are increasingly common	But there was one bright spot yesterday	one bright spot yesterday
Wang had previously forecast a loss	The Senate Commerce Committee already has approved similar legislation	the senate commerce committee already has approved
He had been associate professor in the department of finance at Seton Hall University	He expected as much	he expected
Never once did she gasp for air or mop her brow	Those current holders would also receive minority interests in the new company	those current holders would also receive minority interests in the new
It arrived just as the regulator handling such operations was retiring	The economic ideas in the document are much bolder than current policies	fail to follow
The key here is the ambition of state Attorney General John Van de Kamp	Prices closed mixed as contracts reacted to largely offsetting bullish and bearish news	prices closed mixed
It is hoped that other Japanese would then follow the leader	But Mexico urgently needs more help	but urgently needs more help
Only now is it undergoing a badly needed facelift	Most analysts had expected a sharper decline after the steep rise in August	most analysts had expected a sharper decline
Housing has been weak all year and especially so in the past five months	But there are no scientific data on this question	there are no scientific data on this question
It is hoped that other Japanese would then follow the leader	No amount of hype will bring viewers back if the shows are weak	no amount of hype will bring viewers back
Some industry groups consistently weather the storm better than others	Both companies are regional carriers in the Southwest	both regional carriers in the southwest
The closely watched funds rate is what banks charge each other on overnight loans	They are awaiting an arbitration proceeding	fail to follow
The company earns about half its revenue overseas and plans further expansion	Banks may contribute more senior debt	banks may contribute senior debt
Other network applications have very different goals	Announced and anticipated purchases from foreign countries are also supporting futures prices	announced and anticipated purchases from foreign countries are also supporting
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	a nun raising some lovable orphans	a nun raising
