demonstration	demon_label	test_sentence	response	attachment	structure
The artist of the mural completed his work	The artist of completed his work	The bishop of the church that had the funny eyebrows looked odd	The bishop that had the funny eyebrows looked odd.	adjunct	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The supplier of the drugs that had a nasty effect hurt everyone	The supplier who had a nasty effect hurt everyone.	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The writer of the letter that had blonde hair arrived this morning	The writer had blonde hair arrived this morning.	adjunct	structure_2
The baker kneaded the dough	The baker kneaded	Jasmine sang the song with romantic lyrics	Jasmine sang.	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The gold of the miner that had the impurities was worthless	The gold of the miner that had the impurities was worthless.	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The painter of the house that had the small windows looked odd	The painter of had the small windows looked odd. 	adjunct	structure_1
The fisherman caught the trout	The fisherman caught	Bruce likes the rock band with different instruments	Bruce likes.	pp	structure_1
The architect designed the building	The architect designed	The doctor saved the boy using a pacemaker	The doctor saved.	pp	structure_2
The student read the book	The student read	The magician amazed the participant with a fancy scene	The magician amazed.	pp	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The flowers of the valley that had the old castle excited the tourists	The flowers excited the tourists.	adjunct	structure_1
The librarian sorted the books	The librarian sorted	Bill cut the paper with a very sharp knife	Bill cut.	pp	structure_2
The driver steered the car	The driver steered	The guy caught the rat with a trap	The guy caught.	pp	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool.	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared.	adjunct	structure_1
The actor memorized the script	The actor memorized	Van Gogh drew the paintings with starry night	Van Gogh drew.	pp	structure_1
The journalist reported the news	The journalist reported	Michelle watched the movie with English subtitles	Michelle watched.	pp	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The singer of the song that had long eyelashes was very smart	The singer of was very smart.	adjunct	structure_2
The lawyer argued the case	The lawyer argued	Queen Elizabeth II ate the cake with a silver fork	Queen Elizabeth II ate.	pp	structure_2
The jeweler polished the diamond	The jeweler polished	Charles runs a photo studio with two floors	Charles runs.	pp	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The machine of the inventor that had the goatee was amazing	The machine of was amazing.	adjunct	structure_1
The bird sang a melody	The bird sang	The comedian entertained the crowd with witty jokes	The comedian entertained.	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense.	adjunct	structure_2
The pilot flew the airplane	The pilot flew	Mom ate the chocolate with chopped nuts	Mom ate.	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
