demonstration	demon_label	test_sentence	response	attachment	structure
The mechanic fixed the engine	The mechanic fixed	The police investigated the house with a garden	the police investigated	pp	structure_1
The jeweler polished the diamond	The jeweler polished	Michelle watched the movie with English subtitles	Michelle watched	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared	adjunct	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The gold of the miner that had the impurities was worthless	The gold of was	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	Charles runs a photo studio with two friends	Charles runs	pp	structure_2
The park of the city delighted the children	The park of delighted the children	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked	adjunct	structure_2
The chef cooked the meal	The chef cooked	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone	adjunct	structure_1
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The song of the singer that had long eyelashes was very smart	The song of was very smart	adjunct	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The driver of the car that had the moustache was pretty cool	The driver of was pretty cook	adjunct	structure_2
The architect designed the building	The architect designed	Van Gogh drew the paintings with starry night	Van Gogh drew	pp	structure_1
The teacher explained the concept	The teacher explained	The guy caught the rat with a scar	The guy caught	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The thesis of the editor that had the big nose made a lot of sense	The thesis of made	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	Jasmine sang the song with romantic lyrics	Jasmine sang	pp	structure_1
The student solved the equation	The student solved	The professor challenged the students with his projects	The professor challenged	pp	structure_2
The pilot flew the airplane	The pilot flew	the cook made the meal with a Chinese cleaver	the cook made	pp	structure_2
The journalist reported the news	The journalist reported	Bruce likes the rock band with different instruments	Bruce likes	pp	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The flowers of the valley that had the old castle excited the tourists	The flowers excited	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The restaurant of the chef that had the blue tiles pleased us	The restaurant pleased	adjunct	structure_2
The librarian sorted the books	The librarian sorted	The comedian entertained the crowd with witty jokes	The comedian entertained	pp	structure_2
The song of the player is really popular	The song of is really popular	The house of the painter that had the small windows looked odd	The house of looked odd	adjunct	structure_2
The dancer performed the routine	The dancer performed	Bill cut the paper with a very sharp knife	Bill cut	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The inventor of the machine that had the goatee was amazing	The inventor of was amazing	adjunct	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The letter of the writer that had blonde hair arrived this morning	The letter of arrived	adjunct	structure_1
