demonstration	demon_label	test_sentence	response	attachment	structure
The library of the school attracted many scholarse	The library of attracted many scholarse	The gang of the criminal that had a long scar disappeared last Monday	The gang of had a long scar disappeared last Monday	adjunct	structure_1
The photographer adjusted the lens	The photographer adjusted	The coach led the team with three members	The coach led	pp	structure_1
The mechanic fixed the engine	The mechanic fixed	The police investigated the house with the permission	The police investigated	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The flowers of the valley that had the old castle excited the tourists	The flowers of had the old castle excited the tourists	adjunct	structure_1
The tailor altered the coat	The tailor altered	Jasmine sang the song with romantic lyrics	Jasmine sang	pp	structure_1
The lawyer argued the case	The lawyer argued	Dan entered the room with a key	Dan entered	pp	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of had a nasty effect hurt everyone	adjunct	structure_2
The bird sang a melody	The bird sang	The comedian saw the crowd with fresh flowers	The comedian saw	pp	structure_1
The designer of the dress took a bow	The designer of took a bow	The restaurant of the chef that had the blue tiles pleased us	The restaurant of had the blue tiles pleased us	adjunct	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The church of the bishop that had the funny eyebrows looked odd	The church of the bishop that had the funny eyebrows looked odd	adjunct	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The song of the singer that had long eyelashes was very smart	The song of had long eyelashes was very smart	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
The gamer played the game	The gamer played	The guy caught the rat with a scar	The guy caught	pp	structure_1
The sculptor chiseled the statue	The sculptor chiseled	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The castle of the kingdom awed the tourists	The castle of awed the tourists	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The jeweler polished the diamond	The jeweler polished	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The plains of the tribe looked strange	The plains of looked strange	The house of the painter that had the small windows looked odd	The house of looked odd	adjunct	structure_2
The house of the painter looked odd	The house of looked odd	The miner of the gold that had the impurities was worthless	The miner of was worthless	adjunct	structure_1
The programmer wrote the code	The programmer wrote	The basketball player won the game with his team	The basketball player won	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning	adjunct	structure_2
The detective solved the mystery	The detective solved	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The baker kneaded the dough	The baker kneaded	Michelle watched the movie with English subtitles	Michelle watched	pp	structure_1
The teacher explained the concept	The teacher explained	Bruce leads the rock band with his voice	Bruce leads	pp	structure_2
