demonstration	demon_label	test_sentence	response	attachment	structure
The mansion of the celebrity excited the fans	The mansion of excited the fans	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The director of the orchestra played well	The director of played well	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	Michelle watched the movie with her boyfriend	Michelle watched with her boyfriend	pp	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The car of the driver that had the moustache was pretty cool	The car of was pretty cool	adjunct	structure_1
The song of the player is really popular	The song of is really popular	The bishop of the church that had the funny eyebrows looked odd	The bishop of that had the funny eyebrows looked odd	adjunct	structure_2
The driver steered the car	The driver steered	The police investigated the house with a garden	The police investigated	pp	structure_1
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The gold of the miner that had the impurities was worthless	The gold of that had the impurities was worthless	adjunct	structure_2
The singer composed a song	The singer composed	The doctor noticed the boy using big headphones	The doctor noticed using big headphones	pp	structure_1
The musician tuned the guitar	The musician tuned	Jasmine sang the song with the lovely students	Jasmine sang with the lovely students	pp	structure_2
The journalist reported the news	The journalist reported	The comedian entertained the crowd with witty jokes	The comedian entertained with witty jokes	pp	structure_2
The student read the book	The student read	The magician thanked the participant with a big nose	The magician thanked	pp	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The valley of the flowers that had the old castle excited the tourists	The valley of that had the old castle excited the tourists	adjunct	structure_2
The actor memorized the script	The actor memorized	the cook made the meal with a Chinese cleaver	the cook made with a Chinese cleaver	pp	structure_2
The chef cooked the meal	The chef cooked	The guy caught the rat with a trap	The guy caught with a trap	pp	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The inventor of the machine that had the goatee was amazing	The inventor of that had the goatee was amazing	adjunct	structure_2
The hiker climbed the mountain	The hiker climbed	Bruce likes the rock band with different instruments	Bruce likes	pp	structure_1
The student solved the equation	The student solved	Dan entered the room with a window	Dan entered	pp	structure_1
The dancer performed the routine	The dancer performed	The coach motivated the team with inspiring words	The coach motivated with inspiring words	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The singer of the song that had long eyelashes was very smart	The singer of that had long eyelashes was very smart	adjunct	structure_2
The manager of the factory was efficient	The manager of was efficient	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense	adjunct	structure_1
The carpenter built the house	The carpenter built	The basketball player won the game with lots of audience	The basketball player won	pp	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone	adjunct	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The painter of the house that had the small windows looked odd	The painter of looked odd	adjunct	structure_1
