demonstration	demon_label	test_sentence	response	attachment	structure
The programmer wrote the code	The programmer wrote	The basketball player won the game with lots of audience	The basketball player won with lots of audience.	pp	structure_1
The chef cooked the meal	The chef cooked	Charles runs a photo studio with two floors	Charles runs.	pp	structure_1
The house of the painter looked odd	The house of looked odd	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense.	adjunct	structure_2
The director of the orchestra played well	The director of played well	The song of the singer that had long eyelashes was very smart	The song of was very smart.	adjunct	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us.	adjunct	structure_1
The bird sang a melody	The bird sang	The comedian saw the crowd with fresh flowers	The comedian saw.	pp	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The gold of the miner that had the impurities was worthless	The gold of was worthless.	adjunct	structure_2
The plains of the tribe looked strange	The plains of looked strange	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of  hurt everyone.	adjunct	structure_1
The attorney of the company bothered me	The attorney of bothered me	The house of the painter that had the small windows looked odd	The house of that had the small windows looked odd.	adjunct	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Michelle watched the movie with her boyfriend	Michelle watched with her boyfriend.	pp	structure_2
The park of the city delighted the children	The park of delighted the children	The valley of the flowers that had the old castle excited the tourists	The valley of that had the old castle excited the tourists.	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The criminal of the gang that had a long scar disappeared last Monday	The criminal of that had a long scar disappeared last Monday.	adjunct	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The church of the bishop that had the funny eyebrows looked odd	The church of that had the funny eyebrows looked odd.	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The inventor of the machine that had the goatee was amazing	The inventor of that had the goatee was amazing.	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	Dan entered the room with a key	Dan entered with a key.	pp	structure_2
The pilot flew the airplane	The pilot flew	Van Gogh drew the paintings with starry night	Van Gogh drew.	pp	structure_1
The chef seasoned the soup	The chef seasoned	The guy caught the rat with a trap	The guy caught with a trap.	pp	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The car of the driver that had the moustache was pretty cool	The car of was pretty cool.	adjunct	structure_1
The hiker climbed the mountain	The hiker climbed	The magician amazed the participant with a fancy scene	The magician amazed with a fancy scene.	pp	structure_2
The artist of the mural completed his work	The artist of completed his work	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning.	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	Jasmine sang the song with the lovely students	Jasmine sang with the lovely students.	pp	structure_2
The lawyer argued the case	The lawyer argued	The doctor saved the boy using a pacemaker	The doctor saved using a pacemaker.	pp	structure_2
The journalist reported the news	The journalist reported	Bill cut the paper with a very bright colour	Bill cut.	pp	structure_1
The jeweler polished the diamond	The jeweler polished	the cook ate the meal with some cauliflowers	the cook ate.	pp	structure_1
