demonstration	demon_label	test_sentence	response	attachment	structure
The librarian sorted the books	The librarian sorted	Queen Elizabeth II ate the cake with a silver fork	Queen Elizaah II ate with a silver fork	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The drugs of the supplier that had a nasty effect hurt everyone	The drugs had a nasty effect hurt everone	adjunct	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The valley of the flowers that had the old castle excited the tourists	The valley of that had the old castle excited the tourists	adjunct	structure_2
The detective solved the mystery	The detective solved	The basketball player won the game with his team	The basketball player won with his team	pp	structure_2
The sculptor chiseled the statue	The sculptor chiseled	Bruce likes the rock band with different instruments	Bruce likes with different instruments	pp	structure_1
The tailor altered the coat	The tailor altered	The comedian saw the crowd with fresh flowers	The comedian saw with fresh flowers	pp	structure_1
The programmer wrote the code	The programmer wrote	Van Gogh drew the paintings with starry night	Van Gogh drew with starry night	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The writer of the letter that had blonde hair arrived this morning	The writer of that hade blonde hair arrived this morning	adjunct	structure_2
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The house of the painter that had the small windows looked odd	The house of that had the small windows looked odd	adjunct	structure_2
The baker baked the cake	The baker baked	Bill cut the paper with a very sharp knife	Bill cut with a very sharp knife	pp	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The singer of the song that had long eyelashes was very smart	The singer of that had long eyelashes was very smart	adjunct	structure_2
The carpenter built the house	The carpenter built	Mom ate the chocolate with chopped nuts	Mon ate with chopped nuts	pp	structure_1
The director of the orchestra played well	The director of played well	The church of the bishop that had the funny eyebrows looked odd	The church of that had the funny eyebrows looked odd	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The criminal of the gang that had a long scar disappeared last Monday	The criminal of that had a long scar disappeared last Monday	adjunct	structure_2
The journalist reported the news	The journalist reported	The professor challenged the students with his projects	The professor challenged with his projects 	pp	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The chef of the restaurant that had the blue tiles pleased us	The chef of that had the blue tiles pleased us	adjunct	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The thesis of the editor that had the big nose made a lot of sense	The thesis of that had the big nose made a lot of sense	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	The doctor saved the boy using a pacemaker	The doctor saved using a pacemaker	pp	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The machine of the inventor that had the goatee was amazing	The machine of that had the goatee was amazing	adjunct	structure_1
The chef seasoned the soup	The chef seasoned	The coach led the team with three members	The coach led with three members	pp	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The miner of the gold that had the impurities was worthless	The miner of that had the impurities was worthless	adjunct	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The car of the driver that had the moustache was pretty cool	The car of that had the moustache was pretty cool	adjunct	structure_1
The chef cooked the meal	The chef cooked	The magician thanked the participant with a big nose	The magician thanked with a big nose	pp	structure_1
The dancer performed the routine	The dancer performed	Dan entered the room with a key	Dan entered with a key	pp	structure_2
