demonstration	demon_label	test_sentence	response	attachment	structure
The architect designed the building	The architect designed	The guy caught the rat with a trap	The guy caught	pp	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The machine of the inventor that had the goatee was amazing	The machine of the inventor that had the goatee was amazing	adjunct	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	Jasmine sang the song with romantic lyrics	Jasmine sang	pp	structure_1
The fisherman caught the trout	The fisherman caught	Bruce likes the rock band with different instruments	Bruce likes	pp	structure_1
The baker baked the cake	The baker baked	Queen Elizabeth II ate the cake with a silver fork	Queen Elizabeth II ate	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The gamer played the game	The gamer played	Bill cut the paper with a very sharp knife	Bill cut	pp	structure_2
The tailor altered the coat	The tailor altered	The police investigated the house with a garden	The police investigated	pp	structure_1
The manager of the factory was efficient	The manager of was efficient	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone	adjunct	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The gold of the miner that had the impurities was worthless	The gold of was worthless	adjunct	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists	adjunct	structure_2
The jeweler polished the diamond	The jeweler polished	The comedian saw the crowd with fresh flowers	The comedian saw	pp	structure_1
The student solved the equation	The student solved	The magician thanked the participant with a big nose	The magician thanked	pp	structure_1
The baker kneaded the dough	The baker kneaded	Dan entered the room with a key	Dan entered	pp	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The librarian sorted the books	The librarian sorted	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The pilot flew the airplane	The pilot flew	Van Gogh sold the paintings with a broken heart	Van Gogh sold	pp	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The detective solved the mystery	The detective solved	The professor recruited the students with black eyes	The professor recruited	pp	structure_1
The designer of the dress took a bow	The designer of took a bow	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The house of the painter that had the small windows looked odd	The house of	adjunct	structure_2
The library of the school attracted many scholarse	The library of attracted many scholarse	The singer of the song that had long eyelashes was very smart	The singer of was very smart	adjunct	structure_2
The bakery of the district tempted the locals	The bakery of tempted the locals	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
