demonstration	demon_label	test_sentence	response	attachment	structure
The hiker climbed the mountain	The hiker climbed	Bill cut the paper with a very bright colour	Bill cut	pp	structure_1
The lawyer argued the case	The lawyer argued	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The student read the book	The student read	Michelle watched the movie with English subtitles	Michelle watched	pp	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The song of the singer that had long eyelashes was very smart	The song of was very smart	adjunct	structure_1
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The inventor of the machine that had the goatee was amazing	The inventor was amazing	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday	adjunct	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The miner of the gold that had the impurities was worthless	The miner of was worthless	adjunct	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The flowers of the valley that had the old castle excited the tourists	The flowers of excited the tourists	adjunct	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The painter of the house that had the small windows looked odd	The painter of the house that had the small windows looked odd	adjunct	structure_1
The dancer performed the routine	The dancer performed	The comedian saw the crowd with fresh flowers	The comedian saw	pp	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The baker kneaded the dough	The baker kneaded	Van Gogh sold the paintings with a broken heart	Van Gogh sold	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The editor of the thesis that had the big nose made a lot of sense	The editor made a lot of sense	adjunct	structure_2
The pilot flew the airplane	The pilot flew	The coach motivated the team with inspiring words	The coach motivated	pp	structure_2
The carpenter built the house	The carpenter built	Dan entered the room with a window	Dan entered	pp	structure_1
The mechanic fixed the engine	The mechanic fixed	The professor recruited the students with black eyes	The professor recruited	pp	structure_1
The student solved the equation	The student solved	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The designer of the dress took a bow	The designer of took a bow	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd	adjunct	structure_2
The director of the orchestra played well	The director of played well	The supplier of the drugs that had a nasty effect hurt everyone	The supplier of hurt everyone	adjunct	structure_1
The detective solved the mystery	The detective solved	Bruce likes the rock band with different instruments	Bruce likes	pp	structure_1
The singer composed a song	The singer composed	Mom melted the chocolate with an iron pot	Mom melted	pp	structure_2
The photographer adjusted the lens	The photographer adjusted	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The driver of the car that had the moustache was pretty cool	The driver of was pretty cool	adjunct	structure_2
The artist of the mural completed his work	The artist of completed his work	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us	adjunct	structure_2
