demonstration	demon_label	test_sentence	response	attachment	structure
The student read the book	The student read	Bruce likes the rock band with different instruments	Bruce likes	pp	structure_1
The artist of the mural completed his work	The artist of completed his work	The church of the bishop that had the funny eyebrows looked odd	The church of that had the funny eyebrows looked odd	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The gold of the miner that had the impurities was worthless	The gold of that had the impurities was worthless	adjunct	structure_2
The park of the city delighted the children	The park of delighted the children	The flowers of the valley that had the old castle excited the tourists	The flowers of had the old castle excited the tourists	adjunct	structure_1
The librarian sorted the books	The librarian sorted	The police investigated the house with the permission	The police investigated	pp	structure_2
The attorney of the company bothered me	The attorney of bothered me	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of had a nasty effect hurt everyone	adjunct	structure_2
The musician tuned the guitar	The musician tuned	Dan entered the room with a window	Dan entered	pp	structure_1
The driver steered the car	The driver steered	Bill cut the paper with a very bright colour	Bill cut	pp	structure_1
The mansion of the celebrity excited the fans	The mansion of excited the fans	The car of the driver that had the moustache was pretty cool	The car of had the moustache was pretty cool	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The house of the painter that had the small windows looked odd	The house of had the small windows looked odd	adjunct	structure_2
The programmer wrote the code	The programmer wrote	The coach motivated the team with inspiring words	The coach motivated	pp	structure_2
The actor memorized the script	The actor memorized	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The chef cooked the meal	The chef cooked	Jasmine sang the song with the lovely students	Jasmine sang	pp	structure_2
The exhibit of the museum intrigued the historians	The exhibit of intrigued the historians	The inventor of the machine that had the goatee was amazing	The inventor of had the goatee was amazing	adjunct	structure_2
The chef seasoned the soup	The chef seasoned	The magician amazed the participant with a fancy scene	The magician amazed	pp	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The writer of the letter that had blonde hair arrived this morning	The writer of had blonde hair arrived this morning	adjunct	structure_2
The song of the player is really popular	The song of is really popular	The thesis of the editor that had the big nose made a lot of sense	The thesis of had the big nose made a lot of sense	adjunct	structure_1
The king of the mountain impressed Arthur	The king of impressed Arthur	The song of the singer that had long eyelashes was very smart	The song of had long eyelashes was very smart	adjunct	structure_1
The fisherman caught the trout	The fisherman caught	The basketball player won the game with lots of audience	The basketball player won	pp	structure_1
The journalist reported the news	The journalist reported	The guy caught the rat with a scar	The guy caught	pp	structure_1
The sculptor chiseled the statue	The sculptor chiseled	Charles runs a photo studio with two friends	Charles runs	pp	structure_2
The baker baked the cake	The baker baked	Mom ate the chocolate with chopped nuts	Mom ate	pp	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The gang of the criminal that had a long scar disappeared last Monday	The gang of had a long scar disappeared last Monday	adjunct	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The restaurant of the chef that had the blue tiles pleased us	The restaurant of had the blue tiles pleased us	adjunct	structure_2
