demonstration	demon_label	test_sentence	response	attachment	structure
The song of the player is really popular	The song of is really popular	The bishop of the church that had the funny eyebrows looked odd	The bishop of that had the funny eyebrows looked odd	adjunct	structure_2
The student read the book	The student read	The doctor noticed the boy using big headphones	The doctor noticed	pp	structure_1
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The painter of the house that had the small windows looked odd	The painter of looked odd	adjunct	structure_1
The musician tuned the guitar	The musician tuned	The magician thanked the participant with a big nose	The magician thanked	pp	structure_1
The attorney of the company bothered me	The attorney of bothered me	The editor of the thesis that had the big nose made a lot of sense	The editor of made a lot of sense	adjunct	structure_2
The mansion of the celebrity excited the fans	The mansion of excited the fans	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday	adjunct	structure_1
The forest of the animals pleased us	The forest of pleased us	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists	adjunct	structure_2
The carpenter built the house	The carpenter built	Van Gogh sold the paintings with a broken heart	Van Gogh sold	pp	structure_2
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of the supplier that had a nasty effect hurt everyone	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	Bill cut the paper with a very bright colour	Bill cut	pp	structure_1
The teacher explained the concept	The teacher explained	Mom melted the chocolate with an iron pot	Mom melted	pp	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us	adjunct	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The car of the driver that had the moustache was pretty cool	The car of was pretty cool	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The designer of the dress took a bow	The designer of took a bow	The letter of the writer that had blonde hair arrived this morning	The letter of  arrived this morning	adjunct	structure_1
The driver steered the car	The driver steered	The guy caught the rat with a scar	The guy caught	pp	structure_1
The jeweler polished the diamond	The jeweler polished	The coach motivated the team with inspiring words	The coach motivated	pp	structure_2
The programmer wrote the code	The programmer wrote	The police investigated the house with a garden	The police investigated	pp	structure_1
The gardener watered the plants	The gardener watered	Queen Elizabeth II ate the cake with a silver fork	Queen Elizabeth II ate	pp	structure_2
The chef seasoned the soup	The chef seasoned	Bruce leads the rock band with his voice	Bruce leads	pp	structure_2
The artist of the mural completed his work	The artist of completed his work	The singer of the song that had long eyelashes was very smart	The singer of was very smart	adjunct	structure_2
The pilot flew the airplane	The pilot flew	The basketball player won the game with his team	The basketball player won	pp	structure_2
The castle of the kingdom awed the tourists	The castle of awed the tourists	The gold of the miner that had the impurities was worthless	The gold of was worthless	adjunct	structure_2
The baker kneaded the dough	The baker kneaded	The comedian saw the crowd with fresh flowers	The comedian saw	pp	structure_1
