demonstration	demon_label	test_sentence	response	attachment	structure
The house of the painter looked odd	The house of looked odd	The church of the bishop that had the funny eyebrows looked odd	The church of looked odd.	adjunct	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The driver of the car that had the moustache was pretty cool	The driver of the car was pretty cool.	adjunct	structure_2
The bird sang a melody	The bird sang	The police investigated the house with a garden	The police investigated the house.	pp	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The valley of the flowers that had the old castle excited the tourists	The valley of the flowers excited the tourists.	adjunct	structure_2
The librarian sorted the books	The librarian sorted	Dan entered the room with a key	Dan entered the room.	pp	structure_2
The dog of the officer came back this evening	The dog of came back this evening	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday.	adjunct	structure_2
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning.	adjunct	structure_1
The manager of the factory was efficient	The manager of was efficient	The song of the singer that had long eyelashes was very smart	The song of was very smart.	adjunct	structure_1
The director of the orchestra played well	The director of played well	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone.	adjunct	structure_2
The fisherman caught the trout	The fisherman caught	Bill cut the paper with a very sharp knife	Bill cut the paper.	pp	structure_2
The artist of the mural completed his work	The artist of completed his work	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense.	adjunct	structure_1
The chef seasoned the soup	The chef seasoned	The guy caught the rat with a scar	The guy caught.	pp	structure_1
The jeweler polished the diamond	The jeweler polished	Michelle watched the movie with her boyfriend	Michelle watched.	pp	structure_2
The dancer performed the routine	The dancer performed	Jasmine sang the song with romantic lyrics	Jasmine sang.	pp	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us.	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The house of the painter that had the small windows looked odd	The house of looked odd.	adjunct	structure_2
The tailor altered the coat	The tailor altered	The magician amazed the participant with a fancy scene	The magician amazed.	pp	structure_2
The pilot flew the airplane	The pilot flew	Mom ate the chocolate with chopped nuts	Mom ate.	pp	structure_1
The lawyer argued the case	The lawyer argued	The doctor saved the boy using a pacemaker	The doctor saved.	pp	structure_2
The forest of the animals pleased us	The forest of pleased us	The inventor of the machine that had the goatee was amazing	The inventor of was amazing.	adjunct	structure_2
The student solved the equation	The student solved	The coach led the team with three members	The coach led.	pp	structure_1
The singer composed a song	The singer composed	The comedian saw the crowd with fresh flowers	The comedian saw.	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The miner of the gold that had the impurities was worthless	The miner of was worthless.	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	Charles runs a photo studio with two friends	Charles runs.	pp	structure_2
