demonstration	demon_label	test_sentence	response	attachment	structure
The bird sang a melody	The bird sang	Charles runs a photo studio with two floors	charles runs	pp	structure_1
The forest of the animals pleased us	The forest of pleased us	The letter of the writer that had blonde hair arrived this morning	The letter of arrived this morning	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	The doctor saved the boy using a pacemaker	The doctor saved	pp	structure_2
The artist of the mural completed his work	The artist of completed his work	The criminal of the gang that had a long scar disappeared last Monday	The criminal of disappeared last Monday	adjunct	structure_2
The musician tuned the guitar	The musician tuned	the cook ate the meal with some cauliflowers	the cook ate	pp	structure_1
The observatory of the institute amazed the astronomers	The observatory of amazed the astronomers	The song of the singer that had long eyelashes was very smart	The song of was very smart	adjunct	structure_1
The festival of the village entertained the guests	The festival of entertained the guests	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone	adjunct	structure_2
The lawyer argued the case	The lawyer argued	Jasmine sang the song with romantic lyrics	Jasmine sang	pp	structure_1
The fisherman caught the trout	The fisherman caught	Dan entered the room with a window	Dan entered the room	pp	structure_1
The beach of the island mesmerized the couples	The beach of mesmerized the couples	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists	adjunct	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The machine of the inventor that had the goatee was amazing	The machine of was amazing	adjunct	structure_1
The bakery of the district tempted the locals	The bakery of tempted the locals	The car of the driver that had the moustache was pretty cool	The car of was pretty cool	adjunct	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The house of the painter that had the small windows looked odd	The house of looked odd	adjunct	structure_2
The baker baked the cake	The baker baked	Van Gogh drew the paintings with starry night	Van Gogh drew	pp	structure_1
The chef cooked the meal	The chef cooked	The guy caught the rat with a trap	The guy caught	pp	structure_2
The singer composed a song	The singer composed	The coach motivated the team with inspiring words	The coach motivated	pp	structure_2
The park of the city delighted the children	The park of delighted the children	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd	adjunct	structure_2
The gardener watered the plants	The gardener watered	Mom melted the chocolate with an iron pot	Mom melted	pp	structure_2
The hiker climbed the mountain	The hiker climbed	The police investigated the house with a garden	The police investigated	pp	structure_1
The sailor of the ship arrived this afternoon	The sailor of arrived this afternoon	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense	adjunct	structure_1
The journalist reported the news	The journalist reported	The professor challenged the students with his projects	The professor challenged	pp	structure_2
The plains of the tribe looked strange	The plains of looked strange	The miner of the gold that had the impurities was worthless	The miner of was worthless	adjunct	structure_1
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The restaurant of the chef that had the blue tiles pleased us	The restaurant of pleased us	adjunct	structure_2
The photographer adjusted the lens	The photographer adjusted	The basketball player won the game with his team	The basketball player won	pp	structure_2
